Secteur;Part en %;Tranches Débloquées;Primes matérielles;Primes Immaterielle ;Tranches primes Débloquées
IAA;11%;610; 5,709,223 ; 5,188,392 ; 10,897,615 
ICC;4%;251; 1,741,139 ; 2,580,075 ; 4,321,214 
ICH;8%;484; 4,855,858 ; 3,565,840 ; 8,421,698 
ID;11%;638; 3,678,304 ; 7,197,428 ; 10,875,732 
IMCCV;3%;172; 1,388,889 ; 2,317,669 ; 3,706,558 
IME;18%;1051; 7,427,583 ; 10,861,331 ; 18,288,914 
ITH;37%;2130; 22,115,129 ; 22,723,896 ; 44,839,025 
IS;7%;429; 1,680,387 ; 5,221,798 ; 6,902,185 
Total;100%;5765; 48,596,512 ; 59,656,429 ; 108,252,941 
