خط العرض,خط الطول,العنوان,المؤسسة
8.110269,33.919294,طريق نفطة,المندوبية الجهوية للثقافة بتوزر
8.1286416,33.9139030,شارع أبو القاسم الشابي,دار الثقافة أبو القاسم الشابي توزر
8.216092,33.984453,دقـــاش,دار الثقافة دقــاش
8.210483,33.980219,دقـــاش,المكتبة العمومية دقاش
8.247193,34.007546,المحـاسن,المكتبة العمومية بالمحاسن
8.172986,33.997115,حامة الجريد - توزر,المكتبة العمومية بحامة الجريد
8.171666,33.997031,حامة الجريد - توزر,دار الثقافة حامة الجريد ( احداث جديد )
8.128905,33.913858,شارع أبو القاسم الشابي,المكتبة العمومية أبو القاسم الشابي توزر
8.128748,33.914180,شارع أبو القاسم الشابي,روضة أبو القاسم الشابي توزر
 8.131222,33.933349,طرق النفلايات - توزر,المكتبة الجهوية ابن الشباط توزر
8.129500,33.915329,شارع أبو القاسم الشابي - أمام قسم الإستعجالي,المعهد الجهوي للموسيقى بتوزر
7.592432,33.736523,حـــزوة,المكتبة العمومية بحزوة
7.929467,34.385792,تمغـــزة,المكتبة العمومية بتمغزة
 7.939765,34.385970,تمغـــزة,دار الثقافة بتمغزة ( احداث جديد )
7.875076,33.870360,نفطـة,المكتبة العمومية بنفطة
7.884382,33.870100,نفطـة,دار الثقافة مصطفى خريف نفطة
7.884190,33.870152,نفطـة,مكتبة الأطفال نفطة
7.866077,33.876399,نفطـة,المكتبة العمومية الميداني بن صالح نفطة
7.876238,33.872956,البيـّـاضة – نفطـة,روضة مصطفى خريف نفطة
