Date,Endroit,Nom-artiste,Titre,Prix
19/02/2016,رواق التياترو,حافظ الجريبي,16 Bébé,500
19/02/2016,,مالك سعد الله,peep show,450
19/02/2016,,مراد زراعي,Tunis,600
19/02/2016,,نهلة دخيلي,sensualité,3000
19/02/2016,,وليد عرضاوي,3am el dhahbi,2800
19/02/2016,,فردوس برينصي,lumiére  jaune,450
19/02/2016,دار الثقافة حمام سوسة,زين الحرباوي,سوق اسبوعية,6000
19/02/2016,,نجيب بوقشة,visages metissés,4500
19/02/2016,فضاء كان,عثمان ببا,les yeux du désir,800
19/02/2016,,رضوان عيادي,figuarbilité,3000
19/02/2016,,بديع بن ناصر,la méditérrané au cœur,250
19/02/2016,,محسن جليطي,femme ionique,7000
19/02/2016,"رواق ""البيرو"" بسوسة",وسام العابد,بدون عنوان,2200
19/02/2016,,محمد بن سلطان,les acrobates,4500
19/02/2016,,أنور سفطة,blackout,1800
23/02/2016,دار الكتب الوطنية,بسمة هلال,arabe-est ce-que,2800
23/02/2016,,إكرام تيرة,electroménagerie,4300
23/02/2016,,عمر بسيس,بدون عنوان,1600
23/02/2016,,كريم كمون,echec et mat,1200
23/02/2016,,بثينة يزيدي,lecture noire,400
23/02/2016,,نجاح زربوط,faites l'amour et pas la guerre(8 p),2400
23/02/2016,رواق القرماسي,نور الدين الرياحي,نافذة بالوان الصباح,1800
23/02/2016,قصر العبدلية,جلال بالسعد وياسر الجرادي,son silence,4500
23/02/2016,,جلال بالسعد وياسر الجرادي,larmes de ma mére,3000
23/02/2016,رواق الفن الجميل,إلهام تقتق,contraste,600
23/02/2016,قصر خير الدين,ألفة عفاس,بدون عنوان,2200
23/02/2016,,ماجد زليلة,reveillon,5500
23/02/2016,,عبد الوهاب الشارني,كأنما على رأسه طير,5000
23/02/2016,,نائلة بن عياد,A la recherche du savoir,2000
23/02/2016,,زياد بن سلامة,marionettes,2500
23/02/2016,,توفيق بن عمران,RDV,800
23/02/2016,,سمير بن قويعة,indifférence,6000
23/02/2016,,إيمان السويسي,ورد ورمان,2500
23/02/2016,,إسلام بالحاج رحومة,بدون عنوان,2400
23/02/2016,رواق القرجي,عماد جميل,morceaux choisis,13000
23/02/2016,المكتبة المعوماتية بأريانة,هالة عموس,tableau dessin(6p),900
23/02/2016,,جميلة بن عبد الله,portrait(8p),2800
23/02/2016,دار الثقافة باردو,محمد اليعقوبي,le cri,3500
23/02/2016,دار الفنون بالبلفيدير,محمد بو عزيز,profondeur de vie,4400
23/02/2016,,محمد غسان,أبو سعود,2800
23/02/2016,,إيمان بالسرور,surf minéral,900
23/02/2016,,عبد العزيز محسني,les précieuses ridicules (10p),8000
23/02/2016,,صابر صحراوي,عصفور الجنة,2000
29/02/2016,رواق مسك وعنبر,هالة لمين,7achek barcha,7000
29/02/2016,رواق عين,محمد بعتي,peche nocturne,4500
29/02/2016,,مختار هنان,hawet,4500
29/02/2016,,هاشمي مرزوق,triomphe,4000
29/02/2016,,حبيب السعيدي,atelier,9000
29/02/2016,,عبد الحميد الثابوتي,femme,5000
29/02/2016,رواق كاليستي,بسمة الهداوي,en terrasse(4p),3000
29/02/2016,رواق ألف ورقة ,صدري خياري,بدون عنوان,2200
29/02/2016,,هادي خليل,بدون عنوان,600
29/02/2016,,لمعاء صافي,بدون عنوان (3 قطع),1500
29/02/2016,,ماجدة محفوظ,بدون عنوان,1200
29/02/2016,,جنينة مسعودي,بدون عنوان,3500
29/02/2016,,فائزة بالحاج يحي,بدون عنوان(4 قطع),3200
17/03/2016,رواق علي خوجة بالمهدية,فيروز بوجدي,reconstitution,3000
17/03/2016,,يوسف خذري,auto-portrait,2800
17/03/2016,,مريم بن عمر,بدون عنوان (3 قطع),1800
17/03/2016,دار الثقافة الشبيكة,وداد العبيدي,توالد,1500
17/03/2016,مرينا المنستير,نجيب الركباني,بدون عنوان,900
17/03/2016,,نائلة كلبوسي,بدون عنوان,1200
17/03/2016,المركب الثقافي بالمنستير,أمال حجار,labeur,1900
17/03/2016,دار الثقافة المروج,نبيل الدريدي,"""svp dessine-moi un humain""",2800
17/03/2016,المركب الثقافي بالمنستير,علي البرقاوي,بدون عنوان,2000
17/03/2016,رواق كان,أولقا مالاكوفا,empeinte gafsienne,2800
17/03/2016,رواق محمد الحليوي المركب الثقافي أسد ابن الفرات القيروان,بشير القهواجي,وراء القناع الذهبي,2000
17/03/2016,,وليد هلالي,les ménines,3000
17/03/2016,,عبد الحميد الثابوتي,instant,5800
17/03/2016,,وليد الزواري,بدون عنوان,8000
17/03/2016,,شكري الفاسي,bruillard et lumiére,3000
17/03/2016,,عدنان الحاج ساسي,souvenir,6000
17/03/2016,,عبد اللطيف الرمضاني,ظهور,6800
17/03/2016,,الصحبي عبان,composition,3000
17/03/2016,,وفاء القاضي,subversion,2800
17/03/2016,,الناصر الخراط,gribouillage,2000
17/03/2016,,نصر الدين الفراحتي,lutte et lumiére,1200
17/03/2016,,نجيب عبان,dans la nature,3800
17/03/2016,فضاء كان,توفيق الباهي,fourmi,2500
17/03/2016,,إيناس بناني,anatomie,1000
17/03/2016,,دالي بالقاضي,anonime,2000
17/03/2016,دار الثقافة بالمهدية,محمد سامي بشير,بدون عنوان,4000
17/03/2016,,رجاء القاسمي,بدون عنوان,1000
17/03/2016,,حاتم نعيمة,بدون عنوان,1000
18/03/2016,رواق المعهد بصفاقس,نجوى عبد المقصود,تركيبة,3800
18/03/2016,,محمد سحنون,تركيبة,2000
18/03/2016,,خليل قويعة,ذاكرة الارض,5000
18/03/2016,,هندة بو حامد,renverse,500
18/03/2016,فندق الحدادين بصفاقس,محمد نجاح,انعكاس,500
18/03/2016,فضاء برج القلال بصفاقس,سهيلة حمزة,morceaux choisis,1200
18/03/2016,,وحيد الوي,bon rivage,2500
18/03/2016,,لبنى عبد المولى,derniére épisode,1800
18/03/2016,,عبد العزيزالحصايري,بدون عنوان,3000
18/03/2016,,فاطمة الصامت,تقاسيم,5500
18/03/2016,,محمد بن عياد,face to face,3000
18/03/2016,الرواق البلدي بصفاقس,مريم الفريخة,الموقف,1300
18/03/2016,,نادية الجربي,medina,200
18/03/2016,دار الثقافة ساقية الزيت بصفاقس,هاجر التريكي,الحرية,100
18/03/2016,رواق القصبة بصفاقس,محمد الرقيق,بالشمع الاحمر,1500
18/03/2016,,كمال عبد الله,nocturne,1500
18/03/2016,,وجدي الحصايري,تشكل نافذة,500
18/03/2016,مركب الجاموسي بصفاقس,محمد عزابو,التلوث,500
18/03/2016,فضاء ابو بكر القمودي بسيدي بوزيد,منيرة بوعزيزي,الحرية,1300
18/03/2016,,سنية كداشي,الهجرة,2000
18/03/2016,,وردة عافي,تحدي (2قطع),2100
18/03/2016,,عبد الكريم الظاهري,العازفة,1200
18/03/2016,,الحبيب عايفية,منظر طبيعي بجهة سيدي بوزيد,1000
18/03/2016,,حسان عمري,مرايا,1300
18/03/2016,,عامر بن جدو,رضي الله عنهم و ضوا عنه  ذلك من خشية ربه,1500
22/03/2016,دار الفنون بالبلفيدير,محمد حشيشة,le papio bleu,5000
22/03/2016,,كوثر جلازي بن عياد,labeur,7000
22/03/2016,,حبيب بيدة,corps enfuit dans lacouleur,7000
22/03/2016,,محمد بن مفتاح,patrimoine en péril,9000
22/03/2016,,فوزية الهيشري,hommage à ma mére,1750
22/03/2016,,محمد المالكي,tsunamy,6500
22/03/2016,,عبد السلام الشرفي,composition,1500
22/03/2016,,الطاهر الضاوي,pourritic,7714
22/03/2016,,نبيهة قيقة,village berbère,6000
22/03/2016,,علي الفندري,harmonie,5000
22/03/2016,,لندة عبد اللطيف,genèsel,4600
22/03/2016,,نعمان قمش,composition,3500
22/03/2016,,كنزة المراكشي ,printemps arbre,1500
22/03/2016,,كمال كشو,retour de l'intrus(5p),1200
22/03/2016,,آسيا عروس,بدون عنوان,2200
22/03/2016,,زينب بن عبد الله,le jasmin,4000
22/03/2016,,رؤوف قارة,مبعثرة,4000
22/03/2016,,صادق قمش,personnages,6500
22/03/2016,,طارق فخفاخ,"""louking for a shelter""",3800
22/03/2016,,نصاف شكندالي,femme posture,2500
22/03/2016,,محمد شلبي,familia,8000
22/03/2016,,نزار مقديش,dhou akli,3500
22/03/2016,,منجي معتوق,dialogue,10000
22/03/2016,,سلوى فخران كيلاني,la gourde,1200
