Date,Endroit,Nom-artiste,Titre,Prix
22/03/2016,قصر خير الدين,كاميليا بالقروي,identités,1000
22/03/2016,,ماهر العروسي,le promeneur,1500
22/03/2016,,إيناس بوعزيز بحري,signes,2400
22/03/2016,,أحلام بوصندل,fraternité eternelle ,3900
22/03/2016,,زبيدة شماري دعفوس,vision solaire,3200
22/03/2016,,بسمة بن يحي,eruption,4500
22/03/2016,,علي البطروني,"sciocca storia,storia di dormire seduto",4000
22/03/2016,,ليلى السهيلي,بدون عنوان,4200
22/03/2016,,عبد المجيد بن مسعود,تجريد,9000
22/03/2016,,محفوظ السالمي,أجساد واهمة,5000
22/03/2016,,حنان مقديش,بدون عنوان,2300
22/03/2016,,سامي بن عامر,particules,7000
22/03/2016,,محمد بو عزيز,علامات وأنوار,5500
22/03/2016,,ناجي الثابتي,expressions,7000
22/03/2016,,علي رضا سعيد,من أجل الحرية,5000
22/03/2016,,المنوبي بو صندل,غجرية,8000
22/03/2016,,باكر بن فرج,golden spring,7000
22/03/2016,,نبيل سامي,hommage pour les révolutionnaires,4000
22/03/2016,,فتحي بن زكور,les trois graces,7000
22/03/2016,,منعم عجيلي,بدون عنوان (3 قطع),1200
22/03/2016,,سماح نصر الله,trame,2500
22/03/2016,,شهلة سومر,femme posture,3200
22/03/2016,,إلهام تقتق,parole!!!,2300
22/03/2016,,منير بن موسى,بدون عنوان,4000
22/03/2016,,سعاد مهبولي,passion de la vie,2200
22/03/2016,,وسام غرس الله,entre deux,4500
22/03/2016,,زهور شعبوني القرقوري,التربع والتدوير,2000
22/03/2016,,حياة القاسمي,حنان,7000
22/03/2016,رواق المدينة,زهرة لرقش,médina,700
22/03/2016,رواق التياترو,حمدي مزهود,dégage,2400
22/03/2016,دار الكتب الوطنية,ريناتا دليمي,بدون عنوان,1500
22/03/2016,,ثامر ماجري,mission civilisatrice,5500
25/03/2016,رواق بشيرة سنتر,بشيرة التريكي,"installation ,le voile du silence",10000
25/03/2016,,عثمان طالب,silentium ,2000
25/03/2016,,نبيل صوابي,le peinture et ses doubles(6p),8500
25/03/2016,رواق الهادي التركي,نصر الدين العسالي,سيدي محرز,7000
25/03/2016,رواق الكمان الازرق,رفيق الكامل,transfiguration,30000
25/03/2016,رواق روبتزوف,جاك لومبارد,hommage à awled Ahmed,600
25/03/2016,,طارق عبيد,dance des lettres,2800
25/03/2016,رواق كاليستي,رشيدة عمارة,triptique portrait,2400
25/03/2016,,عادل مقديش,la bague au doigt,1000
25/03/2016,,حمدة دندن,mémoire,5000
25/03/2016,رواق القرجي,انتصار بالعيد,المدينة ( 3قطع),4500
25/03/2016,قصر العبدلية بالمرسى ,وفاء قاضي,tete ,2800
25/03/2016,,ريم مالكي,voyage,850
25/03/2016,,عز الدين براري,باب سويقة,4000
25/03/2016,,سنية بن رمضان ,نهج الغني,1200
08/04/2016,رواق التياترو,أيمن بن عمر,la déesse mère,1000
08/04/2016,,عمر باي,l’équilibriste,3000
08/04/2016,,أحمد زلفاني,intimité ,3500
08/04/2016,,غادة شمّة,chute libre (2 p),1800
08/04/2016,,نجاة غريسي,corps -tiroir,6900
08/04/2016,,إيران وناس,بدون عنوان,1500
08/04/2016,نادي الطاهر الحداد,هيفاء تكوتي ,بدون عنوان,2000
08/04/2016,,كرامة بن عمر,intimité,2500
08/04/2016,,حذامي سلطان,harkouss,2000
08/04/2016,رواق سامية عاشور,طاهر عويدة,arbre de vie,7000
08/04/2016,دار الثقافة مصطفى الآغة بالكرم,أمال بن حسين,ame en attente,7000
08/04/2016,,ليلى سلماوي,solidarité,5000
08/04/2016,رواق ألف ورقة ,منى بلحاج,cendré,5000
08/04/2016,رواق علي القرماسي,جميلة عكروت,مشموم,900
08/04/2016,رواق روبتزوف,عادل العكرمي,hommage à Modigliani,1500
08/04/2016,دار الثقافة ابن رشيق,زينب نفزي,regard,250
08/04/2016,رواق علي القرماسي,رضا نغموشي,بدون عنوان (3 قطع),1950
08/04/2016,دار الفنون بالبلفيدير,صادق الماجري,L’autre (2p),10000
08/04/2016,نادي الطاهر الحداد,رجب الزرمديني,obturation,7000
08/04/2016,دار الفنون بالبلفيدير,عبد الرزاق الخشين,Métiers d’ artisanat,2000
21/04/2016,رواق الدامة,بديعة بن حسون,Marrakech,1200
21/04/2016,,هيلان بن كزران,silhouettes,600
21/04/2016,,ملاك السيت,village ,300
21/04/2016,رواق كاليستي,زياد لصرم,mise en abime,7000
21/04/2016,رواق علي القرماسي,ماهرالطرابلسي,خط عربي,3700
21/04/2016,رواق روبتزوف,حمادي بن نية,Up to heaven-jusqu ' au ciel,7000
21/04/2016,فضاء التياترو,ألفة جمعة,femme coupable ( 4p),1200
21/04/2016,رواق صلدان,وليد لمكشر,supreme voyage,4700
21/04/2016,رواق المدينة,فتحي بن زاكور,L’oiseau du matin,9000
21/04/2016,رواق الفن الجميل,هالة سراج بشير,gestuel(2p),1600
21/04/2016,رواق صديقة,محمد بن مفتاح,Monuments pour les victimes palestiniennes,3000
21/04/2016,,فاطمة كمون فهري,Les mariés,400
21/04/2016,,كمال عبد الله,Métamorphose (2 p),1000
21/04/2016,,رانيا ريدان,بدون عنوان,1200
27/04/2016,دار الثقافة الرجيش بالمهدية,محمد نجاح,نسيج ,4000
27/04/2016,,فاطمة الجريبي,les boules rouges,700
27/04/2016,قصر نيابوليس,رياض بن الحاج أحمد,تداعي,3500
27/04/2016,,إيمان الدوزي,تداعي,1800
27/04/2016,"فضاء"" SOHO"" بنابل",منى فرجاني,experience,900
27/04/2016,,نجيب ركباني,l' iveresse des profondeurs,650
27/04/2016,,وليد شقواي,fleurs dans tous leursétats,1200
27/04/2016,فضاء كان,بثينة يزيدي,بدون عنوان,1600
27/04/2016,,شهلة سومر,بدون عنوان,1200
27/04/2016,,ريم عياري,بدون عنوان,2500
27/04/2016,,عبد العزيز الدريدي,بدون عنوان (3 قطع),3000
27/04/2016,,حسين مصدق,بدون عنوان,5000
27/04/2016,,لمين ساسي,بدون عنوان,10000
27/04/2016,,سلمى ماجري,بدون عنوان(3قطع),900
27/04/2016,فضاء صيانة المدينة بالمهدية,سامي بن ابراهيم,بدون عنوان,800
27/04/2016,,سامية العشي,zootechni animaux nuisible,500
27/04/2016,,سحر الفهري,بدون عنوان,500
27/04/2016,,سهيلة حمزة,siape,700
27/04/2016,,سلام الله ثابت,anamorphose,700
27/04/2016,,عواطف غضباني,la magie des portes(3p),1500
27/04/2016,المركز الثقافي بسوسة,محمد عزابو,من فرقة الفلكلور بقرقنة,2500
27/04/2016,المركز الثقافي محمد المعروف بسوسة,محمد الزواري ,نافذة  ,2500
28/04/2016,المعهد العالي للفنون و الحرف بصفاقس,سلوى عيادي,entrecroisement,1500
28/04/2016,,صفوان علولو,passage en force,2400
28/04/2016,,غازي زليلة,femme de kairouan,500
28/04/2016,,حاتم اللومي,coté paradis,1200
28/04/2016,,فتحي بوزيدة,mal basée,1800
28/04/2016,دار الثقافة الأنس ساقية الزيت صفاقس,سهير بن أحمد,طغراء ,1000
28/04/2016,بيت الشعر بالقيروان,حسين عطي,تركيبة,3000
28/04/2016,رواق المعهد العالي للفنون والحرف بصفاقس,رضا الغالي,مدينة عائمة,300
28/04/2016,,انتصار الزريبي,amalagame,1500
28/04/2016,,فاطمة دمق,des chevaliers en combat,2000
28/04/2016,رواق سيدي عبيد الغرياني بالقيروان,شروق بالحاج صالح,شبكة,1000
28/04/2016,,لمجد النوري,femme tunisienne,3800
28/04/2016,المركب الثقافي محمد الجموسي بصفاقس,خالد الفقي,تناغم (2 قطع),2000
28/04/2016,دار الثقافة الأنس ساقية الزيت صفاقس,نادية شعبان,reflexion transparente (2p),1000
28/04/2016,دار الثقافة الأنس ساقية الزيت صفاقس,منير زكري,galaxy,1200
28/04/2016,دار الثقافة بوحجلة القيروان,علي حمداوي,أمواج عربية ,1500
28/04/2016,,مريم حمداوي,تواتر,1500
28/04/2016,دار الثقافة بوحجلة القيروان,بسمة رمضاني,الغذاء,1000
05/05/2016,رواق الدامة,آمنة بالرحومة,Architecture,800
05/05/2016,,سلمى الشريف الدزيري,Autumn,700
05/05/2016,نادي الطاهر الحداد,عبد الحميد الصقلي,Autenticité,1700
05/05/2016,رواق الفنون ببن عروس,كريم الزين,بدون عنوان,300
05/05/2016,,محمد فراس كارم,بدون عنوان,300
05/05/2016,,شكري بن عبد الحفيظ,بدون عنوان,300
05/05/2016,,محمود كمون,بدون عنوان,300
05/05/2016,,طارق الظريف,بدون عنوان,300
05/05/2016,فضاء التياترو,وليد عرضاوي,Tree cats (2 p),6000
05/05/2016,رواق روبتزوف,أولقا مالاكوفا,le couple,2500
05/05/2016,,رؤوف كرّاي,les trois amis,2200
05/05/2016,,أروى بن إسماعيل,حكاية ( 2 قطع),1300
31/05/2016,رواق علي عيسى ,علي عيسى,collection trapéze,8600
31/05/2016,رواق عين,ريم بالشيخ,le printemps de tanits(4p),2000
31/05/2016,رواق الفن الجميل ,وسيلة كمون المهيري,jardin de babylone,900
31/05/2016,,وردة شاوش يدس,Au café,650
31/05/2016,رواق سامية عاشور,آمال القبايلي,réflexion automnale,2800
31/05/2016,فضاء بئر الاحجار,بشير الزريبي,source de la vie,8000
31/05/2016,,خميس ناجي,عزلة,3500
31/05/2016,,منصف نوار,رسم ذاتي,2000
31/05/2016,قصر خير الدين,مروان الطرابلس,بين الجدران,650
31/05/2016,,علي الزنايدي ,مشاهدة عائلية,8000
31/05/2016,دار الثافة ابن رشيق,محمد المالكي,عين دراهم,5500
31/05/2016,رواق علي القرماسي,سندة الماجري,Rythme végétal,1200
31/05/2016,,ابراهيم العزابي,حصاد,9000
31/05/2016,دار الفنون بالبلفيدير,رؤوف قارة ,بدون عنوان ,8000
14/06/2016,رواق كاليستي,حمدة دنيدن,fragments de vie,10000
14/06/2016,رواق عين,أنور سفطة,Kaléidoscopie punique ,4000
14/06/2016,,لسعد بن عليّة,pique nique,2000
14/06/2016,رواق صلدان,مراد شعبة ,portrait ,1000
20/09/2016,دار الثقافة المروج,ناصر اللواتي,point de vie,4000
20/09/2016,,حبيب الجماعي,la balade,5800
20/09/2016,نادي الطاهر الحداد,حمادي بن سعد,jardin d'autonne,10000
20/09/2016,قصر خير الدين,مهدي قريعة,بدون عنوان,3500
20/09/2016,,يسر الجموسي,بدون عنوان,5000
20/09/2016,,عبد السلام الفالح,cocotte,2800
20/09/2016,,نزار المؤخر,بدون عنوان,4000
20/09/2016,,خالد عبيدة,"إنشاء الدوائر ""تكريما لإبن عربي""",4000
20/09/2016,,بوجمعة بالعيفة,instruction(4p),4000
20/09/2016,,كوثر مقديش,Jeu,2400
27/09/2016,دار الثقافة علي الدعاجي بحمام سوسة,سمير شوشان,بدون عنوان ,5000
27/09/2016,,توفيق الفرجاوي,Alternance,3000
27/09/2016,المركز الثقافي بسوسة,هدى رجب,ورد الرماد (2 قطع),7500
27/09/2016,,لطفي بن صالح,الشفق الأحمر,3000
27/09/2016,المركز الثقافي الجماعي يحي بن عمر بسوسة,لمجد النوري,bleu,2500
27/09/2016,المعهد العالي للفنون الدرامية و الركحية بصفاقس,بسمة هنانة,chant vallonné,2300
27/09/2016,فضاء برج القلال بصفاقس,محمد اليانقي,بدون عنوان,1000
27/09/2016,رواق المعهد العاي للفنون والحرف بصفاقس,سلوى العايدي,Face - à - face,1200
27/09/2016,,برهان بن عريبية,انعتاق,2000
27/09/2016,,رضا الغالي,الطيور على اشكالها تقع ,1200
18/10/2016,دار الثقافة السند بقفصة,نوال  بن ضياء,بدون عنوان,900
18/10/2016,,زياد سندي ,Masque,2300
18/10/2016,,إلياس زعفوري,Là d’où je viens,1600
18/10/2016,,وجيه عبد الله,تأمل,1000
18/10/2016,,نبيل سويسري ناصري,La lumière de la vie,1200
18/10/2016,,منصور رجب,Nécessité mystique,800
18/10/2016,المركب الثقافي أسد إبن الفرات رواق محمد الحليوي بالقروان,شكري الفاسي,ordeur d' enfance,4500
18/10/2016,,سالم ماني,vision trouble,4000
18/10/2016,,منجي القيزاني,Elle est d’aillleurs elle est ici,1200
18/10/2016,دار الثقافة إبن المنظور بقفصة,أنور نصر,فسيفساء,1500
18/10/2016,,حمزة رحال,تشكيل,800
18/10/2016,,ريم قلنزة,منسوجة,800
19/10/2016,المركب الثقافي بسليانة,زيد الماجري,مشهد ,1200
19/10/2016,,رجاء زربوط,ميلاد,350
19/10/2016,,طارق السوسي,لغو,3000
19/10/2016,,صالحة التونسي,عرس البرامة(7 قطع),1000
19/10/2016,,أسماء عبد اللاوي,البالون,500
26/10/2016,رواق أيكار,ليلى الركباني,L'acrobate,3500
26/10/2016,دار الثقافة بالزهراء,صلاح الزعايبي,تكوين,1500
26/10/2016,قصر خير الدين باشا,منال بن بلقاسم,force centrifuge,900
26/10/2016,,هالة بن الشيخ,Miniature,2500
26/10/2016,,نسرين التومي,Evasion,2400
26/10/2016,,أميمة بن سلطان,Lajungle urbaine,1800
26/10/2016,رواق علي القرماسي,عبد الستار العبرقوبي,Détente,2500
26/10/2016,رواق الفنون ببن عروس,الهادي بن نصيرة,احتضار,700
26/10/2016,فضاء بئر الاحجار,محمد الرقيق,personnage,4000
26/10/2016,,أمال زعيم,Emancipation,3500
27/10/2016,دار الفنون بالبلفيدير,حبيب بيدة,luminosité du noir,5000
27/10/2016,دار الفنون بالبلفيدير,فائزة مرابط,Narcisse,800
27/10/2016,رواق كالستي,ربيكا مان,la négatif,800
27/10/2016,فضاء بشيرة سنتر,كوثر درغوث,personnage,600
27/10/2016,,ميشالا مارغريتا سارتي,JANG-E-TAHMILI(guerre imposée),2500
27/10/2016,رواق سامية عاشور,مراد حرباوي,composition,7500
27/10/2016,,سامية عاشور,Ma médina,3500
27/10/2016,دار الثقافة باردو,محمد اليعقوبي,les fils noirs,3000
27/10/2016,,حياة الشابي,composition,2500
27/10/2016,المكتبة المعوماتية بأريانة,حاتم غربي,les infos,4000
09/11/2016,"رواق الفنون ""nasamo Samo "" بشننّي تاطوين",علي الجليطي,لاعبو الخربقة تطاوين 1993,800
09/11/2016,,محمود غرب,أثر,2000
09/11/2016,,زيد عسل,orchide,2500
09/11/2016,,ضحى فريطيس,تشكل لون من الذاكرة,1000
09/11/2016,,رامي العبار,المظطهد,2500
