Annee,Nbre_reunions,Nbre_dossiers_soumis_au_Comite,Nbre_dossiers_acceptes,Nbre_dossiers_rejetes
2017,2,41,32,7
2018,2,55,47,5
2019,4,115,99,16
2020,2,71,63,8
