Nom_institution,Montant_2017,Parties_ participantes_2017,Montant_2018,Parties_ participantes_2018,Montant_2019,Parties_ participantes_2019,Montant_2020,Parties_ participantes_2020
Bibliothèque public de Akouda,03.920000,"Ministère - conseil régional -  direction rég,d'équip",0,*,33.939792,"Ministère - conseil régional -  direction rég,d'équip",10.508438,"Ministère - conseil régional -  direction rég,d'équip"
Bibliothèque régionale de Sousse,27.805119,"Ministère - conseil régional -  direction rég,d'équip",752.199432,"Ministère/conseil régional/ direction rég,d'équip",0,*,0,*
Maison de la culture de hergla,642.000000,"Ministère - conseil régional -  direction rég,d'équip",04.118479,"Ministère/conseil régional/ direction rég,d'équip",0,*,405.540460,"Ministère - conseil régional -  direction rég,d'équip"
Mison de la culture d'Enfidha,04.239200,"Ministère - conseil régional -  direction rég,d'équip",10.616004,"Ministère/conseil régional/ direction rég,d'équip",0,*,0,*
Bibliothèque public Hadroumet de Sousse,38.215142,"Ministère - conseil régional -  direction rég,d'équip",0,*,164.841488,"Ministère - conseil régional -  direction rég,d'équip",0,*
Conservatoire public de musique et de la danse de sousse,14.735685,"Ministère - conseil régional -  direction rég,d'équip",0,*,172.534957,"Ministère - conseil régional -  direction rég,d'équip",0,*
Maison de culture Bouficha,04.256000,"Ministère - conseil régional -  direction rég,d'équip",0,*,22.800350,"Ministère - conseil régional -  direction rég,d'équip",0,*
Bibliothèque public d'Elkneyis,38.781209,"Ministère - conseil régional -  direction rég,d'équip",0,*,01.071314,"Ministère - conseil régional -  direction rég,d'équip",21.427947,"Ministère - conseil régional -  direction rég,d'équip"
Bibliothèque public de Hergla,0,*,11.767034,"Ministère - conseil régional -  direction rég,d'équip",0,*,0,*
Bibliothque public de Sidi Abdlhamid,0,*,25.335778,"Ministère - conseil régional -  direction rég,d'équip",0,*,0,*
Bibliothèque public pour enfants de la cité Ezouhour Sousse,0,*,15.314157,"Ministère - conseil régional -  direction rég,d'équip",0,*,0,*
Maison de culture de Kalaa Kbira,0,*,20.407691,"Ministère - conseil régional -  direction rég,d'équip",103.943180,"Ministère - conseil régional -  direction rég,d'équip",0,*
Bibliothèque public de M'saken,0,*,01.666000,"Ministère - conseil régional -  direction rég,d'équip",0,*,0,*
Maison de culture Akouda,0,*,02.655500,"Ministère - conseil régional -  direction rég,d'équip",03.955000,"Ministère - conseil régional -  direction rég,d'équip",0,*
Bibliothèque Sahloul hammam Sousse,0,*,21.396200,"Ministère - conseil régional -  direction rég,d'équip",0,*,0,*
Commissariat régionale à la culture de Sousse,0,*,0,*,27.034912,"Ministère - conseil régional -  direction rég,d'équip",0,*
Maison de culture Hammam Sousse,0,*,0,*,32.280672,"Ministère - conseil régional -  direction rég,d'équip",0,*
Bibliothèque public pour enfants d'enfidha,0,*,0,*,53.935063,"Ministère - conseil régional -  direction rég,d'équip",08.928510,"Ministère - conseil régional -  direction rég,d'équip"
Bibliothèque public d'enfidha,0,*,0,*,15.316312,"Ministère - conseil régional -  direction rég,d'équip",0,*
Bibliothèque public de Bouficha,0,*,0,*,57.338032,"Ministère - conseil régional -  direction rég,d'équip",30.802089,"Ministère - conseil régional -  direction rég,d'équip"
Bibliothèque public de sidi Bou Ali,0,*,0,*,2.655500,"Ministère - conseil régional -  direction rég,d'équip",0,*
Maison de culture Kalaa Sghira,0,*,0,*,0,*,95.668394,"Ministère - conseil régional -  direction rég,d'équip"
Bibliothèque public pour enfants de Hammam Sousse,0,*,0,*,0,*,33.197231,"Ministère - conseil régional -  direction rég,d'équip"
Complexe de Sidi Khlifa,632.950000,"Ministère - conseil régional -  direction rég,d'équip",0,*,3.220500,"Ministère - conseil régional -  direction rég,d'équip",0,*
