Bénéficiaire (Associations);subvention_2017;subvention_2018;subvention_2019;subvention_2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Union culturel;3000.000;3000.000;3000.000;3000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Femmes créatrices arabes à Sousse;12000.000;12000.000;10000.000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Les amis des lettres, des arts et des sciences;2000.000;2000.000;2000.000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Les jeunes du théâtre;4000.000;0;3500.000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Sciences et patrimoine;5000.000;3000.000;0;3000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Action pour le développement culturel de l'Institut supérieur de musique;7000.000;9000.000;2000.000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ichraq pour la culture et les arts;5000.000;11500.000;7000.000;15000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Douroub pour la culture et la promotion à kalâa lbira;2000.000;5000.000;5000.000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Les amis de la maison de culture msaken;5000.000;5500.000;10000.000;14000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Les amis de la bibliothèque et du livre à Sousse;5000.000;50000.000;70000.000;50000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Les amis de la bibliothèque et du livre à Sousse;60000.000;20000.000;2000.000;30000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Les amis de la bibliothèque et du livre à Sousse;7000.000;2500.000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Les amis de la bibliothèque et du livre à Sousse;0;13000.000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Théâtre Ibrahim Akoudi;6000.000;0;2500.000;10000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mémoire et histoire locale;3000.000;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Conteur et l'art du conte à Sousse;10000.000;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Radhèdh du Méditérranée;3000.000;5000.000;3000.000;4000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afrique et Méditérranée pour la culture;6000.000;5000.000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Les amis de la bibliothèque et du livre à Hergla;3000.000;10000.000;10000.000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ibn Rushd pour la pensée et la créativité;4000.000;2000.000;4000.000;1000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ibn Rushd pour la pensée et la créativité;0;2000.000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Festival El Kantaoui;2000.000;7500.000;45000.000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Festival international de théâtre de l'enfance;4000.000;5000.000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Théâtre arabe;2000.000;0;2000.000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Festival International de l'Olivier Kalâa Kebira;10000.000;10000.000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Forum de la connaissance;0;1500.000;1000.000;2000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Taqasim pour les arts;0;2500.000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Future Hergla;0;5500.000;2000.000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Festival Bouficha;0;7500.000;16000.000;8000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Festival Bouficha;0;0;1150.000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
