Nom_Festival,Categorie,Espace,Sub_Mi_2017,Sub_Mi_2018,Sub_Mi_2019,Sub_Mi_2020,Sub_ Com_2017,Sub_ Com_2018,Sub_ Com_2019,Sub_ Com_2020,Sub_Con _Re_2017,Sub_Con _Re_2018,Sub_Con _Re_2019,Sub_Con _Re_2020,Sub_Con_Mun_2017,Sub_Con_Mun_2018,Sub_Con_Mun_2019,Sub_Con_Mun_2020,Sub_2017,Sub_2018,Sub_2019,Sub_2020
مهرجان باجة لفنون الشعوب,محلي,الملعب البلدي بباجة,40.000,100.000,200.000,100.000,30.000,30.000,30.000,32.000,10.000,15.000,18.000,18.000,10.000,10.000,15.000,15.000,90.000,155.000,263.000,165.000
مهرجان دقة الدولي,دولي,الموقع الأثري بدقة,130.000,100.000,200.000,150.000,25.000,25.000,25.000,27.000,8.000,13.000,18.000,20.000,5.000,5.000,5.000,0,168.000,143.000,248.000,197.000
مهرجان تستور الدولي,دولي,مسرح الهواء الطلق بتستور,60.000,80.000,100.000,50.000,25.000,25.000,25.000,27.000,8.000,13.000,18.000,18.000,4.000,4.000,4.000,0,97.000,122.000,147.000,95.000
مهرجان عمدون الثقافي,محلّي,المعهد الثانوي البشير صفر,0,5.000,6.000,0,11.000,11.000,11.000,12.000,3.000,4.000,5.000,0,0,3.000,3.000,3.000,14.000,23.000,25.000,15.000
مهرجان الزوارع بنفزة,محلّي,قاعة عروض خاصة,0,5.000,22.000,0,12.000,12.000,12.000,0,4.000,5.000,6.000,0,0,0,0,0,16.000,22.000,40.000,0
مهرجان مجردة بمجاز الباب,محلّي,المعهد الثانوي أبو القاسم الشابي,0,3.000,17.000,0,12.000,12.000,12.000,15.000,3.000,5.000,6.000,6.000,5.000,5.000,10.000,2.0000,20.000,25.000,45.000,41.000
مهرجان قبلاط الثقافي,محلّي,قاعة عروض خاصة,0,5.000,7.000,0,10.000,10.000,10.000,0,2.000,2.000,3.000,0,0,0,0,0,12.000,17.000,20.000,0
مهرجان الكرموس بدجبة,محلّي,المنتزه الطبيعي بدجبة,0,0,4.000,0,10.000,10.500,10.000,12.000,2.000,3.000,5.000,7.000,0,2.000,0,0,12.000,15.500,19.000,19.000
