gov_name_f,gov_id,nb association,subvention
Tunis,11,30,474.500
Ariana,12,4,14.000
Ben Arous,13,8,26.500
Manubah,14,5,29.000
Nabeul,15,6,46.000
Zaghouan,16,,
Bizerte,17,3,89.000
Béja,21,,
Jendouba,22,4,20.000
Le Kef,23,,
Siliana,24,1,8.000
Sousse,31,3,95.000
Monastir,32,3,23.500
Mahdia,33,1,95.000
Sfax,34,5,81.000
Kairouan,41,1,3.000
Kassérine,42,4,62.000
Sidi Bou Zid,43,7,25.000
Gabès,51,6,98.000
Médenine,52,8,54.000
Tataouine,53,,
Gafsa,61,4,12.500
Tozeur,62,2,16.000
Kebili,63,1,3.500
