 Lat_angulaire; Gouvernorat ;Lon;Lat;GOUVERNORAT;Dossiers;INVEST (en MD);PRIME (en MD)
" 36°51'17.23""N";ARIANA;10.18651111;36.85478611;ARIANA;375;536.6502606;70.95706067
" 36°43'32.54""N";BEJA;9.188461111;36.72570556;BEJA;55;151.186417;18.275013
" 36°44'1.06""N";BEN AROUS;10.31788333;36.73362778;BEN AROUS;675;1975.645728;266.8400205
" 37°16'12.36""N";BIZERTE;9.873205556;37.2701;BIZERTE;300;583.952918;89.30900609
" 33°53'11.79""N";GABES;10.10584167;33.88660833;GABES;64;224.134402;24.46768741
34°25?29?N;GAFSA;8.470325487;34.25297854;GAFSA;23;9.290744;1.431351
" 36°29'50.08""N";JENDOUBA;8.777144444;36.49724444;JENDOUBA;10;73.871407;7.681093
" 35°40'29.67""N";KAIROUAN;10.09391944;35.67490833;KAIROUAN;54;112.643328;10.834119
" 35°10'43.43""N";KASSERINE;8.512541254;35.15427415;KASSERINE;39;210.123573;10.4390555
" 33°42'43.43""N";KEBILI;8.585221541;33.42658471;KEBILI;10;7.414454;0.924755
" 36°10'43.43""N";LE KEF;8.716713889;36.17873056;KEF;14;79.846827;9.034299
" 35°30'10.37""N";MAHDIA;11.06811944;35.50288056;MAHDIA;198;247.9412284;35.67672626
"36°49'15.3""N";MANOUBA;10.07886111;36.82091667;MANOUBA;264;425.2725756;61.59964912
" 33°20'45.25""N";MEDENINE;10.49086667;33.34590278;MEDENINE;57;79.835693;10.25947838
" 35°45'27.27""N";MONASTIR;10.82547222;35.757575;MONASTIR;1119;1215.509334;176.5478371
" 36°27'47.67""N";NABEUL;10.72107222;36.46324167;NABEUL;706;1435.432155;183.0316859
" 36° 5'11.35""N";SILIANA;9.372025;36.08648611;SELIANA;13;7.647089;1.168554
" 34°44'40.33""N";SFAX;10.76043056;34.74453611;SFAX;741;1176.103543;160.1823869
" 35° 2'13.33""N";SIDI BOUZID;9.483605556;35.03703611;SIDI BOUZID;23;33.444047;4.571271
" 35°47'55.50""N";SOUSSE;10.60686667;35.79875;SOUSSE;670;1253.719159;160.8819635
" 32°56'26.72""N";TATAOUINE;10.45265833;32.94075556;TATAOUINE;11;15.700906;2.291612
" 33°55'38.84""N";TOZEUR;8.138455556;33.92745556;TOZEUR;9;8.488719;0.849409
" 36°48'52.78""N";TUNIS;10.17884444;36.81466111;TUNIS;636;1007.374204;138.5599492
" 36°24'22.21""N";ZAGHOUAN;10.140775;36.40616944;ZAGHOUAN;142;562.378993;65.8093907
