Annee,Acquisition_de_livres_tunisiens_(B-A),Acquisition_de_livres_tunisiens_(B-R),Acquisition_de_revues_tunisiennes_et_etrangeres_(B-A),Acquisition_de_revues_tunisiennes_et_etrangeres(B-R),Subvention_du_papier _livre_(B-A),Subvention_du_papier _livre_(B-R),Recommandation_a_la_publication_(B-A),Recommandation_a_la_publication_(B-R)
2015,1200000000,1238337500,400000000,310000000,850000000,844713305,*,*
2016,1400000000,1320002500,360000000,319938000,850000000,791125999,*,*
2017,1300000000,1257277000,360000000,319938000,900000000,1062461498,380000000,381340000
2018,2600000000,2599800000,360000000,352296000,900000000,739803920,380000000,341661000
2019,2600000000,2678386950,360000000,359065000,1200000000,1129228921,380000000,*
2020,2600000000,2562440051,1830000000,265177200,450000000,1829733352,480000000,307088000
