Nom_institution,Montant_2021,Parties_ participantes_2021,Montant_2022,Parties_ participantes_2022,Montant_2023,Parties_ participantes_2023,Montant_2024,Parties_ participantes_2024
Bibliothèque public de Akouda,0,,"19,778000","Ministère - conseil régional -  direction rég,d'équip",0,,0,
Bibliothèque régionale de Sousse,0,,"145,966190","Ministère - conseil régional -  direction rég,d'équip","44,284356","Ministère - conseil régional -  direction rég,d'équip",0,
Maison de la culture de hergla,0,,"727,659891","Ministère - conseil régional -  direction rég,d'équip",0,,"187,674900","Ministère - conseil régional -  direction rég,d'équip"
Mison de la culture d'Enfidha,"839,665000","Ministère - conseil régional -  direction rég,d'équip",0,,0,,0,
Bibliothèque public Hadroumet de Sousse,0,,0,,0,,0,
Conservatoire public de musique et de la danse de sousse,0,,0,,0,,0,
Maison de culture Bouficha,0,,0,,"43,804000","Ministère - conseil régional -  direction rég,d'équip",0,
Bibliothèque public d'Elkneyis,"24,000000","Ministère - conseil régional -  direction rég,d'équip",0,,0,,0,
Bibliothèque public de Hergla,0,,0,,0,,0,
Bibliothque public de Sidi Abdlhamid,0,,,,0,,0,
Bibliothèque public pour enfants de la cité Ezouhour Sousse,"13,406000","Ministère - conseil régional -  direction rég,d'équip",0,,0,,0,
Maison de culture de Kalaa Kbira,0,,"23,905000","Ministère - conseil régional -  direction rég,d'équip",0,,0,
Bibliothèque public pour enfants de M'saken,"67,531000","Ministère - conseil régional -  direction rég,d'équip",0,,0,,0,
Bibliothèque public de M'saken,0,,0,,0,,0,
Maison de culture Akouda,"11,689000","Ministère - conseil régional -  direction rég,d'équip",0,,0,,0,
Bibliothèque public Sahloul hammam Sousse,"18,200000","Ministère - conseil régional -  direction rég,d'équip",0,,0,,0,
Commissariat régionale à la culture de Sousse,0,,0,,0,,0,
Maison de culture Hammam Sousse,0,,0,,0,,0,
Bibliothèque public pour enfants d'enfidha,0,,0,,0,,0,
Bibliothèque public d'enfidha,0,,0,,0,,0,
Bibliothèque public de Bouficha,"30,850000","Ministère - conseil régional -  direction rég,d'équip",0,,0,,0,
Bibliothèque public de sidi Bou Ali,0,,"42,077000","Ministère - conseil régional -  direction rég,d'équip",0,,0,
Maison de culture Kalaa Sghira,"28,924000","Ministère - conseil régional -  direction rég,d'équip",0,,0,,0,
Bibliothèque public pour enfants de Hammam Sousse,0,,0,,0,,0,
Complexe de Sidi Khlifa,0,,0,,0,,0,
Complexe Culturelle de Sousse,0,,0,,0,,"2558,014480","Ministère - conseil régional -  direction rég,d'équip"
