maisons _culture,Nbr_clubs_2021,Nbr_adherent_G_2021,Nbr_adherent_F _2021,Nbr_adherent_club _2021,Nbr_clubs_2022,Nbr_adherent_G_2022,Nbr_adherent_F _2022,Nbr_adherent_club _2022,Nbr_clubs_2023,Nbr_adherent_G_2023,Nbr_adherent_F_2023,Nbr_adherent_club_2023,Nbr_clubs_2024,Nbr_adherent_G_2024,Nbr_adherent_F_2024,Nbr_adherent_club_2024
centre culturel sousse,9,31,81,134,8,89,389,478,8,45,194,239,8,45,194,239
maison de culture msaken,10,112,97,209,10,124,111,235,10,143,97,245,9,87,143,221
maison de culture kalaa sghira ,5,45,60,105,5,53,71,124,9,55,96,151,10,62,129,191
maison de culture kalaa kbira,6,41,104,145,6,52,111,163,4,44,81,125,6,50,140,190
maison de culture hamam sousse,11,159,150,309,11,140,96,236,8,101,169,270,9,150,130,280
maison de culture bouficha ,8,7,20,27,8,10,25,35,6,10,25,35,5,8,25,33
maison de culture nfidha ,9,53,72,125,9,67,63,130,8,55,70,125,8,54,76,130
maison de culture akouda,7,22,80,102,8,29,102,131,8,31,147,178,6,21,61,82
maison de culture hergla ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
