Annee;Non-du-film;Genre-du-film;Societe-de-production;Realisateur
2022;الديدان لن تعرف الجنة;روائي قصير;play;آمنة النجار
2022;Loading;روائي قصير;Lumières Films;أنيس الأسود
2022;Kendila;روائي قصير;Key prod;نادية الرايس
2022;الخروبة;روائي قصير;klil production;عماد المثناني
2022;La masure;روائي قصير;Inside production;أنيس بن دالي
2022;Dans le silence;روائي قصير;Absolute Dream;كريم حمودة
2022;Les tournesols de la lune;مساعدة على  الكتابة;Utopia Film;محمد إسماعيل اللواتي
2022;Hannibal vue par les Carthaginois;مساعدة على  الكتابة;CTV;محمد دمق
2022;Insurrection;روائي طويل;jsp + Madbox;جيلاني السعدي
2022;Entre 2;روائي طويل;Leyth prod;ندى حفيظ
2022;أحلام الجبل;وثائقي طويل;Siqa;عبد الله يحيى
2022;La guêpe et l'orchidée;وثائقي طويل;Madbox;صابر الزموري
2022;أعطيني حقي;وثائقي طويل;Final Cut Production;هادية بن عايشة
2022;ADN;روائي قصير;Stratus Films;نوفل صاحب الطابع
2022;Success Story;روائي قصير;Instinct Bleu;رامي الجربوعي
2022;ثلاثة حكايات ونصف;روائي قصير;2MT;مصطفى التايب
2022;المحاكمة;روائي قصير;Kantaoui Films;كمال بن وناس
2022;Frida;روائي قصير;Amilcar Film;محمد بوحجر
2022;Les yeux du cœur;روائي قصير;Clandestino;إنصاف عرافة
2022;Connexion;روائي قصير;Synergy;كريم اليعقوبي
2022;13;روائي قصير;Propaganda;قيس ماجري
2022;BUNKOEUR;روائي طويل;SSW;نضال شطا
2022;معز;روائي طويل;SVP;محمد علي النهدي
2022;Il neige à sidi Bousaid;وثائقي طويل;propaganda;فاطمة الشريف
2022;نوار عشية;روائي طويل;سرسينا فيلم;خديجة لمكشر
2022;فوزي والمسطاري;روائي طويل;ديجيبرو;نجوى سلامة
2022;خالتي بهيجة;روائي قصير;MadBox;فوزي الجمل
2023;العصافير لا تهاجر;تحريكي قصير;Instinct Bleu;رامي الجربوعي
2023;تونس - جربة;روائي طويل;Atlas vision;آمال قلاتي
2023;Agora entre chiens et loups;روائي طويل;Exit production;علاء الدين سليم
2023;ود;روائي طويل-إنهاء;Mindshift;حبيب المستيري
2023;Casting;روائي قصير;Frontline;يوسف صنهاجي
2023;قرية الصمت;وثائقي طويل;تاكفاريناس;وسيم القربي
2023;يأتون من بعيد;وثائقي طويل;أياكان;رضا التليلي
2023;Nadine..la benjamine du village;التشجيع على الانهاء ;Créa-Doc;عبد الله يحيى
2023;Ziwen;روائي قصير;Tunistudio;ممدوح عبد الغفار
2023;Tunisie, l'héritage Andalou;روائي قصير;Audimage;فريال بن محمود
2023;Les coopérants l'autre et moi;وثائقي طويل;Klil production;محمود الجمني
2023;Solo;وثائقي طويل;Donia Films;أمين بوخريص
2023;عايشة;روائي طويل;Cinétéléfilms;مهدي برصاوي
2023;عيد الحب;روائي قصير;Carapace;سمير الحرباوي
2023;زينة;كتابة سيناريو;play;إيناس بن عثمان
