Annee,Budget,Subvention_des_espaces,Budget_total
2013,3200000000,0,3200000000
2014,3850000000,400000000,4250000000
2015,4000000000,560000000,4560000000
2016,4000000000,560000000,4560000000
2017,3650000000,700000000,4350000000
