Annee,Nbre_ d_employes,Nbre_F,Nbre_H,Nbre_cadre_F,Nbre_cadre_H,Nbre_des_agents_F,Nbre_des_agents_H,Nbre_des_ouvriers_F,Nbre_des_ouvriers_H
2013,17,10,7,2,1,7,4,1,2
2014,22,9,13,1,2,7,8,1,3
2015,18,9,9,2,3,6,5,1,1
2016,18,9,9,1,3,5,6,1,1
2017,14,7,7,3,3,4,1,0,1
