Annee,Nbre_d_espaces,Nbre_Institutions_pro,Nbre_associations_amateur,Nbre_d_artistes_pro,Nbre_d_artistes_pro_H,Nbre_d_artistes_pro_F
2013,14,127,276,136,79,57
2014,16,146,279,44,29,15
2015,23,156,285,108,62,46
2016,26,183,289,74,41,33
2017,30,187,292,51,28,23
