,Produit Intérieur Brut (aux prix du marché),Revenus des facteurs reçus de l'extérieur nets,REVENU NATIONAL,Autres transferts courants extérieurs nets,REVENU NATIONAL DISPONIBLE BRUT,Sociétés non financières,Institutions financières,Administration Publique,Ménages ,Amortissements,REVENU NATIONAL NET,REVENU NATIONAL DISPONIBLE,Consommation Finale,EPARGNE NATIONALE (BRUTE),EPARGNE NATIONALE (NETTE),Taux d'épargne par agent,TAUX D'EPARGNE,Population (en milliers),Nombre de ménage (en milliers),Taille moyenne d'un ménage,INDICE DES PRIX A LA CONSOMMATION FAMILIALE (IPC; 2015=100),REVENU DISPONIBLE BRUT DES MENAGES en MD,Accroissement,REVENU DISPONIBLE BRUT PAR MENAGE en Dinars courants,REVENU DISPONIBLE BRUT PAR MENAGE en Dinars de 2015,GFCF by Institutional Sectors (MD),Non-Financial Corporations (NFCs) (GFCF),Financial Institution (GFCF),Public Administration (GFCF),Householders (housing) (GFCF),TOTAL GENERAL (GFCF),Inflation,RNDB (MD 2015),RNDB/Personne
2018,42686504460,-1036243982,41650260478,1993904492,43644164969,"1,153.80","2,100.90","24,595.30",,,"96,717.50","101,995.10",38390670933,4559581343,"11,525.30",10.20%,10.6815524,11765514,"3,000",4,145.5446626,"87,670.20",,"29,223.40","31,275.40",8367628596,1153.8,2100.9,24595.3,,8367628596,7.30759176,29986784952,3709.499217
2019,41905642419,-1092306418,40813336001,2170095552,42983431552,"2,078.30","2,346.80","25,512.30",,,"105,737.40","112,105.40",37978376061,4295937297,"12,026.60",10.50%,10.25145314,11875081,"3,100",4.1,155.3253735,"96,194.50",1.587846655,"31,019.20","33,071.10",8144333164,2078.3,2346.8,25512.3,,8144333164,6.720075329,27673155119,3619.632704
2020,42491780918,-1396728297,41095052621,2437669742,43532722363,"1,871.50","2,439.90","25,209.70",,,"101,056.20","107,911.80",40671209000,2365155868,"11,264.00",10.30%,5.566149069,11974057,"3,200",4.2,164.0766398,"92,908.50",-9.011934124,"30,067.50","32,118.50",6734917816,1871.5,2439.9,25209.7,,6734917816,5.634151159,26531944098,3635.586699
2021,46812290143,-1230109355,45582180788,3323496037,48905676825,"3,514.50","1,837.70","28,269.30",,,"112,794.80","122,082.10",44276779794,4072493668,"13,312.40",11.80%,8.69962494,12048622,"3,300",4.3,173.4394275,"103,772.90",4.736320748,"33,788.00","35,839.00",7446500531,3514.5,1837.7,28269.3,,7446500531,5.706350208,28197554340,4059.02657
2022,44579761023,-973042610.1,43606718413,3192695417,46799413830,"6,158.80","2,760.60","25,307.30",,,"120,749.30","130,662.30",43648104609,2536436191,"14,140.00",12.00%,5.689658563,12119334,"3,400",4.4,187.8461064,"112,167.90",2.673318218,"35,000.00","37,051.00",7864665529,6158.8,2760.6,25307.3,,7864665529,8.306461244,24913699164,3861.549969
2023,48529595417,-1309908462,47219686955,,,"2,958.90","3,114.90","30,343.70",,,"129,791.30","139,378.10",45070005472,4735375757,"15,000.00",12.50%,9.757707059,12200431,"3,500",4.5,205.3702621,"119,125.20",0.039156567,"36,500.00","38,551.00",7708970356,2958.9,3114.9,30343.7,,7708970356,9.328995975,,
2024,,,,,,,,,,,,,,,,,,,,,220.1705094,,0,,,,,,,,,7.206616572,,
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
