Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Tunisia,TUN,1974,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,24.9084448761342
Tunisia,TUN,1973,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,20.1824028301067
Tunisia,TUN,1972,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,18.4094256259205
Tunisia,TUN,1971,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,18.9408288506705
Tunisia,TUN,1970,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,18.0332637034295
Tunisia,TUN,1969,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,20.9891665305678
Tunisia,TUN,1968,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,15.6761909950154
Tunisia,TUN,1967,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,12.5692443141737
Tunisia,TUN,1966,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,16.7293737318155
Tunisia,TUN,1965,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,15.480303588117
Tunisia,TUN,1964,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,20.6853261988063
Tunisia,TUN,1963,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,23.2218935249169
Tunisia,TUN,1962,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,29.7034821977531
Tunisia,TUN,1961,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,23.1818181818182
Tunisia,TUN,2022,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,52.0806131459047
Tunisia,TUN,2021,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,60.1204252463533
Tunisia,TUN,2020,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,43.8356832550419
Tunisia,TUN,2019,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,55.666527864259
Tunisia,TUN,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,57.2462640099626
Tunisia,TUN,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,48.7552265142506
Tunisia,TUN,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,61.9831486971446
Tunisia,TUN,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,53.1128404669261
Tunisia,TUN,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,45.7496136012365
Tunisia,TUN,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,40.4135997195934
Tunisia,TUN,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,49.5084269662921
Tunisia,TUN,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,48.3973230010567
Tunisia,TUN,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,47.4318101310662
Tunisia,TUN,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,48.3930550424825
Tunisia,TUN,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,40.8465608465608
Tunisia,TUN,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,46.1397731430662
Tunisia,TUN,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,44.9149475208107
Tunisia,TUN,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,45.4578754578755
Tunisia,TUN,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,42.6728771049803
Tunisia,TUN,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,39.6057347670251
Tunisia,TUN,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,36.8098159509202
Tunisia,TUN,2001,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,36.0490266762797
Tunisia,TUN,2000,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,38.8617318435754
Tunisia,TUN,1999,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,38.5699553111035
Tunisia,TUN,1998,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,39.5460229246266
Tunisia,TUN,1997,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,33.9261862917399
Tunisia,TUN,1996,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,34.0949033391916
Tunisia,TUN,1995,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,27.0935960591133
Tunisia,TUN,1994,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,31.4487632508834
Tunisia,TUN,1993,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,31.9383997321727
Tunisia,TUN,1992,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,36.1220770288858
Tunisia,TUN,1991,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,34.009628610729
Tunisia,TUN,1990,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,28.8415262976968
Tunisia,TUN,1989,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,35.6357388316151
Tunisia,TUN,1988,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,34.5027247956403
Tunisia,TUN,1987,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,35.1006711409396
Tunisia,TUN,1986,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,34.7524752475247
Tunisia,TUN,1985,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,31.400651465798
Tunisia,TUN,1984,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,28.2371794871795
Tunisia,TUN,1983,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,25.0636942675159
Tunisia,TUN,1982,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,25.6838607594937
Tunisia,TUN,1981,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,26.4637223974763
Tunisia,TUN,1980,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,19.4923221560639
Tunisia,TUN,1979,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,17.6159718144451
Tunisia,TUN,1978,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,16.17345443891
Tunisia,TUN,1977,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,12.4184859654097
Tunisia,TUN,1976,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,15.6034482758621
Tunisia,TUN,1975,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,15.3598240469208
Tunisia,TUN,1974,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,15.0488023952096
Tunisia,TUN,1973,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,11.9996960486322
Tunisia,TUN,1972,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,11.1455108359133
Tunisia,TUN,1971,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,11.71875
Tunisia,TUN,1970,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,10.6796116504854
Tunisia,TUN,1969,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,12.101381042059
Tunisia,TUN,1968,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,9.04905660377358
Tunisia,TUN,1967,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.22798742138365
Tunisia,TUN,1966,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,7.64842767295598
Tunisia,TUN,1965,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.87578616352201
Tunisia,TUN,1964,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.32138364779874
Tunisia,TUN,1963,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.55838709677419
Tunisia,TUN,1962,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,6.85709677419355
