Date;Hasdrubal;Miskar;Ashtart;Chergui;Sidi Behara;mahres;Rahmoura;Gremda/El Ain;Sidi Litayem;Cercina;El Hajeb/Guebiba;Total;
1990;0,0;0,0;1306,7;;;;;79,8;;0,0;33,3;1419,8;
1991;0,0;0,0;1242,5;;;;;52,5;;0,0;22,1;1317,1;
1992;0,0;0,0;1135,8;;;;;76,6;;0,0;25,9;1238,3;
1993;0,0;0,0;1070,0;;;;;97,2;;0,0;10,0;1177,2;
1994;0,0;0,0;996,7;;;;;80,5;;97,6;12,2;1187,0;
1995;0,0;0,0;922,6;;;;;51,9;;157,4;10,0;1141,9;
1996;0,0;90,9;961,8;;;;;60,4;;114,3;10,3;1237,7;
1997;0,0;182,3;915,7;;;;;48,7;;107,2;9,6;1263,5;
1998;0,0;190,6;887,6;;;;;46,8;;120,3;44,4;1289,7;
1999;0,0;202,4;842,4;;;;;46,6;;115,7;49,2;1256,3;
2000;0,0;206,9;739,4;;;;;42,7;;119,8;42,5;1151,3;
2001;0,0;218,4;681,1;;;;;41,2;;110,9;42,6;1094,2;
2002;0,0;209,4;669,2;;;;;37,8;;96,6;92,6;1105,6;
2003;0,0;214,0;644,0;;;;;25,0;;101,3;94,9;1079,2;
2004;0,0;221,0;577,0;;;;;25,0;;106,0;103,0;1032,0;
2005;0,0;229,0;530,0;;;;;50,5;;107,2;142,0;1058,7;
2006;0,0;201,3;446,0;0,0;0,0;0,2;20,7;42,8;55,6;120,9;149,6;1037,1;
2007;0,0;188,1;478,0;0,0;0,0;1,2;20,0;44,0;57,1;115,3;162,0;1065,7;
2008;0,0;173,5;493,6;4,1;0,0;0,2;23,2;42,0;53,8;79,1;274,4;1143,9;
2009;3,3;185,5;420,5;15,4;0,0;0,2;5,1;39,3;46,6;55,6;231,9;1003,4;
2010;268,90;181,70;420,90;16,00;0,00;0,42;0,00;36,50;44,40;38,10;153,20;1160,1;
2011;300,10;160,10;340,30;15,60;0,90;0,00;11,40;31,10;37,40;46,70;191,20;1134,8;
2012;430,40;122,10;302,50;13,80;1,20;0,00;22,60;30,30;36,60;59,40;188,20;1207,1;
2013;452,90;114,20;285,70;12,60;2,80;0,00;27,50;30,00;38,90;55,40;159,80;1179,8;
2014;352,30;99,40;251,60;12,80;0,00;0,00;22,70;29,20;36,80;43,80;127,10;975,7;
2015;289,70;98,00;235,20;12,90;0,00;0,50;20,10;27,70;46,60;54,00;106,40;891,1;
2016;271,70;89,50;292,70;3,90;1,50;0,00;20,20;16,60;34,60;61,70;117,00;909,4;
2017;245,20;84,10;231,90;7,60;2,20;0,00;12,10;6,50;35,90;93,50;113,10;832,1;
2018;192,76;77,20;231,09;11,00;0,02;0,00;9,76;0,00;36,58;80,13;102,81;741,4;
2019;150,31;83,47;217,13;9,64;7,40;0,00;4,27;4,51;31,95;75,92;94,72;679,3;
