Date;Consommation du secteur électrique. en ktep;Consommation pour usage finale. en ktep;Consommation totale. en ktep
janv-05;176.36;45.52;221.88
févr-05;182.34;38.9;221.24
mars-05;181.55;48.74;230.29
avr-05;182.33;43.93;226.26
mai-05;203.74;44.57;248.31
juin-05;248.41;42.8;291.21
juil-05;255.56;48.93;304.49
août-05;244.7;45.12;289.82
sept-05;219.68;45.16;264.84
oct-05;207.11;46.03;253.14
nov-05;181.58;42.59;224.17
déc-05;194.86;49.31;244.17
janv-06;190.27;47.32;237.59
févr-06;179.79;41.81;221.6
mars-06;195.1;47.27;242.37
avr-06;181.48;47.59;229.07
mai-06;207.78;50.51;258.29
juin-06;214.35;52;266.35
juil-06;245.71;51.49;297.2
août-06;235.74;50.19;285.93
sept-06;232.1;52.9;285
oct-06;207.87;53.05;260.92
nov-06;174.28;54.63;228.91
déc-06;181.37;52.41;233.78
janv-07;187.83;55.94;243.77
févr-07;165.06;59.68;224.74
mars-07;184.42;84.51;268.93
avr-07;202.04;73.53;275.57
mai-07;201.97;70.29;272.26
juin-07;238.63;68.2;306.83
juil-07;255.35;74.08;329.43
août-07;272.63;63.82;336.45
sept-07;220.92;71.64;292.56
oct-07;213.51;70.47;283.98
nov-07;185.36;85.98;271.34
déc-07;198.49;99.15;297.64
janv-08;213.85;101.7;315.55
févr-08;204.02;95.45;299.47
mars-08;212.94;92.27;305.21
avr-08;177.24;77.9;255.14
mai-08;227.44;80.16;307.6
juin-08;248.99;76.32;325.31
juil-08;324.27;74.52;398.79
août-08;320.58;74.34;394.92
sept-08;273.18;67.05;340.23
oct-08;223.98;68.76;292.74
nov-08;192.51;81.45;273.96
déc-08;207.9;87.21;295.11
janv-09;206.28;106.29;312.57
févr-09;188.95;104.68;293.63
mars-09;201.24;96.89;298.13
avr-09;189.97;87.59;277.56
mai-09;236.77;80.2;316.97
juin-09;274.32;71.55;345.87
juil-09;344.4;81.45;425.85
août-09;350.4;77.94;428.34
sept-09;265.32;78.66;343.98
oct-09;235.17;87.21;322.38
nov-09;214.56;96.39;310.95
déc-09;222.3;113.31;335.61
janv-10;252.67;116.55;369.22
févr-10;206.51;112.5;319.01
mars-10;234.9;102.96;337.86
avr-10;229.14;92.79;321.93
mai-10;250.83;94.59;345.42
juin-10;282.69;89.28;371.97
juil-10;354.15;88.92;443.07
août-10;346.92;88.38;435.3
sept-10;283.17;72.99;356.16
oct-10;268.83;93.87;362.7
nov-10;229.81;96.39;326.2
déc-10;257.27;123.3;380.57
janv-11;241.95;110.79;352.74
févr-11;223.1;106.65;329.75
mars-11;241.81;108.9;350.71
avr-11;234.63;91.08;325.71
mai-11;253.08;96.3;349.38
