Gouvernorat,Nombre de dossiers reçus,Nombre de structures subventionnees,Valeur financiere totale du subvention
Tunis,40,40,1311.5
Ariana,,,
Ben Arous,,,
Manouba,2,2,15
Zaghouan,,,
Bizerte,,,
Nabeul,,,
Beja,1,1,6
Seliana,1,1,8
Jendouba,1,1,10
Kef,1,1,10
Sousse,11,11,105
Monastir,2,2,60
Mahdia,3,3,35
Sfax,4,4,56
Kairouan,,,
Kasserine,6,6,160
Sidi Bouzid,,,
Kebili,2,2,16
Gabes,,,
Gafsa,2,2,15
Tozeur,,,
Medenine,1,1,8
Tataouine,3,3,35
