متابعة تنفيذ عروض شهر رمضان,,,,
الولاية,العرض,تاريخ العرض ,طبيعة العرض,المكان/ الفضاء 
منوبة,عرض الفنّان سفيان الزايدي,15أفريل2023,موسيقى,قصر قبّة النحاس بمنّوبة
منوبة,ورشات الرسم ,16أفريل2023,ورشات,المدرسة الابتدائية  الريفيّة بالدخيلة -طبربة
منوبة,عرض الفنّانة آية دغنوج,16أفريل2023,موسيقى,قصر قبّة النحاس بمنّوبة
منوبة,ورشات تكوينيّة في المسرح ,17أفريل2023,ورشات,كليّة الآداب والفنون والإنسانيّات بجامعة منّوبة
منوبة,"عرض موسيقي ""براس من نحاس"" للأسعد المعتمري",17أفريل2023,موسيقى,قصر قبّة النحاس بمنّوبة
منوبة,ورشات قصّة مسموعة وترغيب في المطالعة ,18أفريل2023,ورشات,مركز ذوي الاحتياجات الخصوصيّة بالمهرين -البطّان
منوبة,ورشات تكوينيّة في المسرح ,18أفريل2023,ورشات,كليّة الآداب والفنون والإنسانيّات بجامعة منّوبة
منوبة,"عرض موسيقي للمجموعة النسائيّة""Club elle"" لرحمة بن عفّانة",18أفريل2023,موسيقى,قصر قبّة النحاس بمنّوبة
منوبة,ورشات تكوينيّة في المسرح ,19أفريل2023,ورشات,كليّة الآداب والفنون والإنسانيّات بجامعة منّوبة
منوبة,"عرض موسيقي ""بحور العشق"" للفنّان خالد بن يحي بمشاركة المنشد أحمد جلمام",19أفريل2023,عروض صوفية,قصر قبّة النحاس بمنّوبة
منوبة,ورشات تكوينيّة في المسرح ,20أفريل2023,ورشات,كليّة الآداب والفنون والإنسانيّات بجامعة منّوبة
