Year;dossiers approuvés; Total primes (en DT) ; Total Investissements (en DT) ;  Tranches débloqués  ;  Primes  Débloquées  
2017;711; 11,935,636 ; 86,193,658 ; 345 ; 5,745,093 
2018;655; 12,438,684 ; 71,752,824 ; 278 ; 6,284,236 
2019;414; 12,698,652 ; 34,753,576 ; 240 ; 5,485,771 
