gov_name_f,gov_id,Etablissement,Nature,Programme,Cadre_d_activite,Nbr_de_manifestations,Nbr_activite,Sub_ministere_Directe,Sub_ministere_indirecte,Sub_commissariat_Directe,Sub_commissariat_indirecte,Sub__structures_directe,Sub__structures_indirecte,sub_autres_parties_publiques,sub_autres_parties_prives,Nbr_d_abonnes,Capacite_operationnelle_directe,Capacite_operationnelle_indirecte
Siliana,24,المكتبة العمومية ببوعرادةبالشراكة مع المكتبة الجهوية بسليانة ,مكتبات عمومية,تونس مدن الآداب والكتاب,نشاط مؤسساث ثقافية,2,19,0,2000,0,0,0,0,0,0,900,20,20
Siliana,24,المكتبة العمومية بالعروسةبالشراكة مع المكتبة الجهوية بسليانة ,مكتبات عمومية,تونس مدن الآداب والكتاب,نشاط مؤسساث ثقافية,2,22,0,3500,0,0,0,0,0,0,850,15,0
Siliana,24, المكتبة العمومية برقوبالشراكة مع المكتبة الجهوية بسليانة ,مكتبات عمومية,تونس مدن الآداب والكتاب,نشاط مؤسساث ثقافية,2,17,0,3000,0,0,0,0,0,0,800,10,15
Siliana,24,المكتبة العمومية بالروحيةبالشراكة مع المكتبة الجهوية بسليانة ,مكتبات عمومية,تونس مدن الآداب والكتاب,نشاط مؤسساث ثقافية,2,14,5500,0,0,0,0,0,0,0,800,15,20
Siliana,24,المندوبية الجهوية بسليانة,إدارة أو مؤسسة تحت إشراف الوزارة,تونس مدن الحضارات,نشاط مؤسساث ثقافية,1,15,0,15000,0,13800,0,0,0,0,3000,150,0
Siliana,24,دار الثقافة سليانة,دور ثقافة ومركبات ثقافية,تونس مدن الحضارات,نشاط مؤسساث ثقافية,2,15,0,1000,0,0,0,0,0,0,3200,40,0
Siliana,24,دار الثقافة بوعرادة,دور ثقافة ومركبات ثقافية,تونس مدن الحضارات,نشاط مؤسساث ثقافية,2,30,0,0,0,0,0,0,0,0,3000,60,0
Siliana,24,دار الثقافة مكثر,دور ثقافة ومركبات ثقافية,تونس مدن الحضارات,نشاط مؤسساث ثقافية,3,52,0,0,0,0,0,0,0,0,5000,250,0
Siliana,24,المندوبية الجهوية بسليانة,إدارة أو مؤسسة تحت إشراف الوزارة,تونس مدن الفنون,نشاط مؤسساث ثقافية,8,50,0,140000,0,24000,0,0,0,0,4000,200,542
Siliana,24,المعهد الجهوي لللموسيقى بسليانة,معاهد جهوية لللموسيقى,تونس مدن الفنون,نشاط مؤسساث ثقافية,4,210,10000,1000,0,0,0,0,0,0,2000,100,140
Siliana,24,مركز الفنون الدرامية و الركحية بسليانة,إدارة أو مؤسسة تحت إشراف الوزارة,تونس مدن الفنون,نشاط مؤسساث ثقافية,1,26,0,7500,0,0,0,0,0,0,3000,110,172
Siliana,24,المركب الثقافي سليانة ,دور ثقافة ومركبات ثقافية,تونس مدن الفنون,نشاط مؤسساث ثقافية,9,670,0,20000,0,3500,0,0,0,0,20000,400,118
Siliana,24,دار الثقافة سليانة,دور ثقافة ومركبات ثقافية,تونس مدن الفنون,نشاط مؤسساث ثقافية,5,600,0,10000,0,0,0,0,0,0,8000,150,26
