Annee,Visiteur_etrangers,Visiteur_Tunisiens,Nombre_Total
2014,19143,3385,22528
2015,5461,2616,8077
2016,3663,4210,7873
2017,2949,2392,5341
2018,4631,4654,9285
2019,7395,6126,13521
