Salle_de_cinema,Film,Date,Heure,Billets_restants,Billets_vendus
4 eme art,LAMB (CM),2018-11-10,13:00 – 15:00,309,71
4 eme art,Karmen Gei,2018-11-10,19:00 – 21:45,281,99
4 eme art,The Journey,10-11-2018, 13:00-15 :00,130,250
4 eme art,Joi Baba felunath the Elephant God,09-11-2018, 13:00-15 :00,320,60
4 eme art,Straless Dreams,09-11-2018, 13:00-15 :00,141,239
4 eme art,Maria Kum,2018-11-09, 13:00-15 :00,304,76
