Nom-association-ou-festivales,Subvention-commissariat
المهرجان الدولي للقصور الصحراوية بتطاوين,35000
جمعية المحافظة على قصر تونكت,2000
جمعية مهرجان الطفولة بغمراسن,5000
جمعية الكوكب الإيجابي,3000
جمعية حق و مواطنة ,2000
جمعية تراث ورغمة بتطاوين,2000
جمعية ملتقى الجنوب للثقافة و الفنون,5000
جمعية مهرجان الجز  بالصمار,7000
جمعية يقين,2000
جمعية صيانة التراث,5000
جمعية احباء المكتبة بتطاوين ,4000
جمعية المهرجان الدولي عمر خلفت للمسرح بتطاوين ,15000
