Nom-association-ou-festivales,Subvention-commissariat
جمعية حاملي الشهائد المهنية ,3000
جمعية الكوكب الإيجابي ,6000
المهرجان الدولي للقصور الصحراوية بتطاوين ,20000
جمعية مدى للمسرح بتطاوين ,11000
