N° INV ,Nom-de-l-artiste,Titre-d-œuvre,Technique,Dimension-en-cm,Evenement,Lieu,Date-de -transfert,Date-d-overture ,Date-de-cloture,Nombre
1169,Hedi Selmi,Le hibou,Sculpture,,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,3
1170,,L'oiseau,Sculpture en marbre,,,,,,,
1172,,Le meneur,Sculpture,,,,,,,
7060,Salah Ben Amor,تعـــاطـــف,Sculpture en cuivre,55x55,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,2
10281,,Union retrouvé,,37x36x12,,,,,,
1792,Hechemi Marzouk,Femme voilée,Sculpture (bois),30x105,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,4
2023,,Sculture n°100,sculpture en bois,20x78,,,,,,
6126,,Femme,Sculpture en bronze,64x10,,,,,,
8141,,رقصــــــة 1,Bronze,130x27,,,,,,
2244,Farhat Yamoun,L'abruste enchanté,Collage,37x50,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,1
2310,Hechemi Jmel,Céramique n°38,Céramique,29x46,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,3
2999,,Sculpture n°1,,30x35,,,,,,
4190,,Ceramique N°2,,16x16x34,,,,,,
4664,Aïcha Filali,Faut départ,Ceramique en table au terre cuite,68x102,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,2
6072,,ٍSans titre,Sculpture en bois et céramique,110x36-100x76-110x40-172x50,,,,,,
3112,Boujemâa Belaïfa,Volume V,Résine de polyester,56x56,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,4
3111,,Volume XI,Résine de polyester,57x76,,,,,,
2722,,Sans titre,Sculpture bronze et bois,98x78,,,,,,
3037,,Espace II,Sculpture à 3 dimensions,92x43,,,,,,
7993,Béchir Zribi,Ambition,Scultpture sur bois,120x43,تزويق الجناح الرئاسي,مدينة الثقافة,43175,21/03/2018,31/07/2018,4
6181,,Inondation,Sculpture en bois,34x39,تزويق الجناح الرئاسي,,43262,,,
5857,,Affection maternelle,Sculpture sur bois,108x28,معرض نحتي ومنحوت,,43172,,,
10788,,Virtussit2 de la danseuse,Sculpturesur bois/socle en bois,55x32x11cm,معرض نحتي ومنحوت,,43172,,,
10362,Abdelhamid Hajjem,الإتّحاد,sculpture en bois,61 x 23 x 26,تزويق الجناح الرئاسي,مدينة الثقافة,43262,21/03/2018,31/07/2018,3
7122,,Femme se coiffant,Sculpture sur marbre,52x35,معرض نحتي ومنحوت,,43172,,,
7508/2,,Médailles en bronze,Bas relief en bronze,13x17-16x12,معرض نحتي ومنحوت,,43172,,,
5138,Khaled Ben Slimane,Ascension,Huile sur toile,110x150,أيام قرطاج للفن المعاصر,مدينة الثقافة,43357,19/09/2018,26/09/2018,6
6340,,Porte et invocation,Tech.mixte,80x100,تزويق الجناح الرئاسي,,43262,21/03/2018,,
6210,,Sans titre,Acrylique,150x150,تزويق الجناح الرئاسي,,43262,21/03/2018,,
3704,,Sans titre,Huile sur toile,90x116,أيام قرطاج للفن المعاصر,,43357,19/09/2018,26/09/2018,
8960,,Ascension 2,Tech.mixte sur toile,130x100,تزويق الجناح الرئاسي,,43262,21/03/2018,,
6403,,Hommage aux gens de Carthage,Céramique,Installation 8m x 3 (184 pièces),معرض نحتي ومنحوت,,43172,21/03/2018,31/07/2018,
7277,Meriem Cheltout,Mais qu'est ce que tu as ?,Sculpture rakou,53x38,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,2
7290,,Allons-y,Rakou,30x32,,,,,,
11638/5,Kamel Kchaou,Retour de l'intrus,Céramique ,1) 20x18 (2) 32x19 (3) 31x20 (4) 32x21 (5) 31x19,معرض نحتي ومنحوت,مدينة الثقافة,43172,21/03/2018,31/07/2018,2
