المنحة المسندة,الاختصاص الثقافي او الفني,الجمعية
2500,الفنون الركحية,جمعيّة الإبداع المسرحي
7100,المهرجانات والتظاهرات,جمعيّة مهرجان سيدي علي الحطّاب
10870,الآداب والكتاب,جمعيّة أحبّك يا وطني للثقافة والتنمية الإجتماعيّة
6000,المهرجانات والتظاهرات,جمعيّة صدق الإخاء للمسرح
5000,المهرجانات والتظاهرات,الجمعيّة الوطنيّة للطفل والأسرة
40000,الآداب والكتاب,جمعية احباء المكتبة و الكتاب بالدندان
30600,الودادية,وداديّة أعوان وموظّفي المندوبيّة الجهويّة للثقافة بمنّوبة
24300,الودادية,ودادية أعوان و موظفي المكتبات العمومية بولاية منوبة
10600,السينما والصورة,جمعيّة مسار للتنمية الثقافيّة
