Nom_maison _culture,Nbr_clubs_2023,Nbr_adherent_G_2023 ,Nbr_adherent_F_2023,T_Nbr_adherent_2023,Nbr_clubs_2024,Nbr_adherent_G_2024 ,Nbr_adherent_F_2024,T_Nbr_adherent_2024
Maison de culture Nabeul,6,40,82,122,5,40,85,125
Maison de culture Grombalia ,6,35,69,104,5,13,48,61
Maison de culture korba ,6,35,66,101,5,36,57,93
Maison de culture Takelsa ,5,12,43,55,4,23,28,51
Maison de culture Tazerka ,7,28,38,66,5,23,32,55
Maison de culture Elhawaria ,5,20,40,60,10,44,62,106
Maison de culture Menzel temime ,5,52,84,136,7,104,119,219
Maison de culture kelibia ,6,19,35,54,6,39,87,126
Centre culturelle Neapolis ,6,37,93,130,8,49,123,172
Maison de culture Elmida ,5,37,73,110,5,44,99,143
Maison de culture Soliman ,7,61,109,170,4,19,34,53
