Date ;Ressources totales dՎnergie primaire, en ktep;Demande totale dՎnergie primaire, en ktep;Solde du bilan dՎnergie primaire , en ktep
2005;3351.63513713388;7381.40185713388;-4029.76672
2006;3167.69433743097;7634.33044743097;-4466.63611
2007;2954.454776116;8154.435786116;-5199.98101
2008;7319.80670104039;8325.44509254451;-1005.63839150412
2009;7371.1988783117;8384.23307047628;-1013.03419216458
2010;7865.821074847;8563.67109682082;-697.850021973822
2011;7083.205477249;8163.79462409146;-1080.58914684246
2012;6972.32515053834;8752.16717690693;-1779.84202636859
2013;6340.39840937584;8937.06417750424;-2596.6657681284
2014;5537.25154784193;9455.05210530825;-3917.80055746632
2015;5203.83355127158;9568.13236229671;-4364.29881102513
2016;5324.27673269918;9357.58297278708;-4033.3062400879
2017;4824.33394678938;9796.55469557127;-4972.22074878189
2018;4601.4997335485;9944.3504407712;-5342.8507072227
2019;3958.27228253249;9746.23306574449;-5787.960783212
2020;3956.21519384148;9112.59733751691;-5168.69927854304
2021;5092.23204133864;9705.955973574;-5168.69927854304
