Annee,Les-depenses-de-gestion,Investissements-directe,Financemnt-publique,Fonds-du-tresor,Total
2017,182.450,66.447,6.030,2.928,257.854
2018,190.505,57.841,12.159,4.000,264.505
2019,233.146,42.790,17.210,7.000,300.146
