Date;Consommation HT. en GWh;Consommation MT. en GWh;Consommation BT. en GWh;Consommation totale (Somme des autres colonnes). en GWh
4 / 2019;110;530.2;586.7;1226.9
5 / 2019;106.34;537.82;612.3;1256.46
6 / 2019;97.7;574.1;472.43;1144.23
7 / 2019;115.36;759.98;650.57;1525.91
8 / 2019;96;688.9;651.9;1436.8
9 / 2019;98.36;659.05;847.73;1605.14
10 / 2019;113.19;613.86;846.7;1573.75
11 / 2019;103.02;517.05;762.88;1382.95
12 / 2019;119.33;533.04;655.99;1308.36
1 / 2020;103.52;528.3;658.23218;1290.05
2 / 2020;104.77826;524.869744;684;1313.65
3 / 2020;85;454.5;640.8;1180.3
4 / 2020;29.733538;359.179902;624.280041;-260.3
5 / 2020;74.282499;445.716403;513.084928;2306.58
6 / 2020;109.292959;579.563426;587.742779;1269.22
7 / 2020;109.747003;643.773578;669.267815;1419.9
8 / 2020;110.093463;642.107643;548.622403;1311.09
9 / 2020;108.134938;622.372416;805.576795;1528.45
10 / 2020;110.764727;536.783546999999;688.227947;1331.03
11 / 2020;119.47502;525.384216;712.958621;1356.31
12 / 2020;113.177593;496.449125;702.206491;1272.09
1 / 2021;112.918806;480.516154;609.17834;1202.059907
2 / 2021;101.869465;495.794007;641.059982;1240.377941
3 / 2021;125.511729;545.389839;712.835062;1383.347388
4 / 2021;123.3;508.9;639.959407;1271.851943
5 / 2021;107.012206;484.770289;549.489088;1146.75326
6 / 2021;108.746282;643.522193;638.925504;1390.247196
7 / 2021;116.079019;642.807719999999;584.279061;1343.062957
8 / 2021;108.564395;683.536139;586.460744;1381.031742
9 / 2021;103.334359;667.674828;916.234939;1687.244126
10 / 2021;125.780216;552.620356;792.8286;1471.229172
11 / 2021;107.627094;532.644740000001;844.689129;1484.960963
12 / 2021;117.056429;539.123734999999;733.060143999999;1389.240308
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
