N° de la ligne;N° de station;Nom de station;Longitude;Latitude
23;1;RABATTEMENT SLIMEN KAHIA;10.098591908681556;36.803863870267655
23;2;ABDELMOULA-ALLER;10.100555151439039;36.795989858905244
23;3;PÉPINIÉRE-ALLER;10.094417989384965;36.79276287456374
23;4;GARDE NATIONAL AGBA-ALLER;10.090977117288276;36.790446509447264
23;5;AGBA SUPERIEUR-ALLER;10.088412925633747;36.78955508556756
23;6;CANAL AGBA-ALLER;10.085432857013075;36.78847204531257
23;7;BEN MAHMOUD-ALLER;10.0814901440026;36.78592484278642
23;8;CITE ELWAHA-ALLER;10.076031848657294;36.78346949824781
23;9;SONEDE AGBA-ALLER;10.069935187566443;36.78222783313274
23;10;GHDIR ELGOLLAH-ALLER;10.063299268222181;36.780111370408655
23;11;CITE JABRI-ALLER;10.058246120679541;36.77651333573025
23;12;CROISEMENT BEN YEDDER-ALLER;10.054590269792243;36.774536793894
23;13;CITE ENNACR-ALLER;10.02686923755391;36.766132484549615
23;14;MARCHÉ MORNAGIAA-ALLER;10.011264413333265;36.763791249041816
23;15;GUITOUNI-ALLER;9.980070322490064;36.751873389793595
23;16;CROISEMENT SIDI ALI HATTAB-ALLER;9.973235785437282;36.74912166140837
23;17;ZONE INDUSTRIELLE-ALLER;9.945051135728136;36.73624284512041
23;18;AEROPORT BORJ EL AMRI-ALLER;9.934285014605848;36.73079663967099
23;19;BORJ KHALSI-ALLER;9.925900429225294;36.72697013529874
23;20;BOUHALLEB-ALLER;9.915906518763222;36.72291555245994
23;21;CIMETIERE ANGLAIS-ALLER;9.911035627192177;36.721973895487686
23;22;RELAIS BORJ EL AMRI-ALLER;9.894448846316664;36.718198552068394
23;23;MOSQUÉE BORJ EL AMRI-ALLER;9.88879474971327;36.716353812231645
23;24;CAFE MEDINA-ALLER;9.883205026126234;36.71312433590799
23;25;CITE EL INTILAKA ;9.878221213293727;36.718855595505616
23 (Retour);1;CITE EL INTILAKA;9.878221213293727;36.718855595505616
23 (Retour);2;CAFE MEDINA 23/;9.882368176913587;36.7126728003639
23 (Retour);3;MOSQUÉE BORJ EL AMRI-RETOUR;9.888789385622658;36.71619470672074
23 (Retour);4;RELAIS BORJ EL AMRI-RETOUR;9.893424242472975;36.717837347755975
23 (Retour);5;CIMETIERE ANGLAIS-RETOUR;9.911110728717176;36.721814801617185
23 (Retour);6;BOUHALLEB-RETOUR;9.916115731066384;36.72285965533641
23 (Retour);7;BORJ KHALSI-RETOUR;9.926479517889675;36.727033768562364
23 (Retour);8;AEROPORT BORJ EL AMRI-RETOUR;9.935309350621537;36.73109243329409
23 (Retour);9;ZONE INDUSTRIELLE-RETOUR;9.945346444910683;36.73617062148471
23 (Retour);10;CROISEMENT SIDI ALI HATTAB-RETOUR;9.973364532124833;36.748760602421115
23 (Retour);11;GUITOUNI-RETOUR;9.980316817891435;36.75181235590946
23 (Retour);12;MARCHÉ MORNAGIAA-RETOUR;10.011339515185682;36.76366232430244
23 (Retour);13;CITE ENNACER-RETOUR;10.027255475652055;36.76602934792426
23 (Retour);14;CROISEMENT BEN YEDDER-RETOUR;10.054871901738807;36.774448707658415
23 (Retour);15;CITE JABRI-RETOUR;10.05881461474928;36.77663966080839
23 (Retour);16;GHDIR ELGOLLAH-RETOUR;10.063653320139565;36.77994380381327
23 (Retour);17;SONEDE AGBA-RETOUR;10.070195361840888;36.78213975563698
23 (Retour);18;CITE ELWAHA-RETOUR;10.076165959271748;36.783282605284114
23 (Retour);19;BEN MAHMOUD-RETOUR;10.081704720723792;36.78578091837428
23 (Retour);20;CANAL AGBA-RETOUR;10.0857976374391;36.78843338043003
23 (Retour);21;AGBA SUPERIEUR-RETOUR;10.088442295527784;36.78933126134643
23 (Retour);22;GARDE NATIONAL AGBA-RETOUR;10.091309711369831;36.790472285371436
23 (Retour);23;PÉPINIÉRE-RETOUR;10.094901055163064;36.79284535462966
23 (Retour);24;ABDELMOULA-RETOUR;10.100828736758558;36.795860988381406
23 (Retour);25;OUED GUERIANA L23;10.105147227677662;36.798528994922904
23 (Retour);26;RABATTEMENT SLIMEN KAHIA;10.098591908681556;36.803863870267655
23E;1;RABATTEMENT SLIMEN KAHIA;10.098591908681556;36.803863870267655
23E;2;ABDELMOULA-ALLER;10.100555151439039;36.795989858905244
23E;3;PÉPINIÉRE-ALLER;10.094417989384965;36.79276287456374
23E;4;GARDE NATIONAL AGBA-ALLER;10.090977117288276;36.790446509447264
23E;5;AGBA SUPERIEUR-ALLER;10.088412925633747;36.78955508556756
23E;6;CANAL AGBA-ALLER;10.085432857013075;36.78847204531257
23E;7;BEN MAHMOUD-ALLER;10.0814901440026;36.78592484278642
23E;8;CITE ELWAHA-ALLER;10.076031848657294;36.78346949824781
23E;9;SONEDE AGBA-ALLER;10.069935187566443;36.78222783313274
23E;10;GHDIR ELGOLLAH-ALLER;10.063299268222181;36.780111370408655
23E;11;CITE JABRI-ALLER;10.058246120679541;36.77651333573025
23E;12;CROISEMENT BEN YEDDER-ALLER;10.054590269792243;36.774536793894
23E;13;BIR ED DROUJ-ALLER;10.047297209239332;36.77055089925394
23E;14;HUILERIE LOUKIL-ALLER;10.039384692972817;36.766722079647266
23E;15;LYCEE CHEBI-ALLER;10.027513236855157;36.76131585617782
23E;16;MOSQUÉE MORNAGIAA-ALLER;10.019466742742225;36.75876775117919
23E;17;MORNAGIAA-ALLER;10.013517468905775;36.75634334124171
23E;18;20 MARS-ALLER;10.010038778054877;36.75723128333956
23E;19;LYCEE 20 MARS-ALLER;10.00026172347134;36.75777796860204
23E;20;FIRMA-ALLER;9.992193907237379;36.754727311996604
23E;21;GUITOUNI-ALLER;9.980070322490064;36.751873389793595
23E;22;CROISEMENT SIDI ALI HATTAB-ALLER;9.973235785437282;36.74912166140837
23E;23;ZONE INDUSTRIELLE-ALLER;9.945051135728136;36.73624284512041
23E;24;AEROPORT BORJ EL AMRI-ALLER;9.934285014605848;36.73079663967099
23E;25;BORJ KHALSI-ALLER;9.925900429225294;36.72697013529874
23E;26;BOUHALLEB-ALLER;9.915906518763222;36.72291555245994
23E;27;CIMETIERE ANGLAIS-ALLER;9.911035627192177;36.721973895487686
23E;28;RELAIS BORJ EL AMRI-ALLER;9.894448846316664;36.718198552068394
23E;29;MOSQUÉE BORJ EL AMRI-ALLER;9.88879474971327;36.716353812231645
23E;30;CAFE MEDINA-ALLER;9.883205026126234;36.71312433590799
23E;31;KIOSQUE AGIL-ALLER;9.878387779062905;36.71142568859018
23E;32;KM30-ALLER;9.855562181328423;36.704802756147295
23E;33;MESSAADINE-ALLER;9.842987984156935;36.700617972342336
23E;34;FURNA-ALLER;9.83184608790907;36.69342202048768
23E;35;ENTREE BORJ ENNOUR-ALLER;9.81972531961219;36.68040307759673
23E;36;EPICIER JILANI-ALLER;9.800442784762708;36.666309644678684
23E;37;ENTREE GRIAAT-ALLER;9.78444072577986;36.65818956109473
23E;38;GRIAAT;9.78436575833257;36.660804261094334
23E (Retour);1;GRIAAT;9.78436575833257;36.660804261094334
23E (Retour);2;ENTREE GRIAAT-RETOUR;9.785352811741177;36.65812974373387
23E (Retour);3;EPICIER JILANI-RETOUR;9.800485700106947;36.666176253296655
23E (Retour);4;ENTREE BORJ ENNOUR-RETOUR;9.820409282910987;36.68042028618594
23E (Retour);5;FURNA-RETOUR;9.83237193524019;36.693878400644316
23E (Retour);6;MESSAADINE-RETOUR;9.8433420357469;36.70058786516043
23E (Retour);7;KM30-RETOUR;9.855797945929226;36.70467287183511
23E (Retour);8;KIOSQUE AGIL -RETOUR;9.878189295268385;36.711219268137214
23E (Retour);9;CAFE MEDINA 23/;9.882368176913587;36.7126728003639
23E (Retour);10;MOSQUÉE BORJ EL AMRI-RETOUR;9.888789385622658;36.71619470672074
23E (Retour);11;RELAIS BORJ EL AMRI-RETOUR;9.893424242472975;36.717837347755975
