annee,nombre_de_Bibiotheques,nombre_de_places,le_Fonds_de_livre,nombre_d_abonnees,nombre_de_prets 
2011,382,33468,7066530,160383,1645024
2012,384,34139,7372040,140859,1336998
2013,386,33712,7264107,141137,1454254
2014,394,33908,7335797,207354,1378940
2015,399,35711,7473166,178305,1278457
2016,403,36320,7601203,171254,1316924
2017,420,35743,7437313,163885,1088709
