Code_BR,Categorie_Aderant,Code_Regime,Annees,Nombre
28 ,TS,280,2022,"2,426"
29 ,TS,280,2022,"6,929"
30 ,TS,280,2022,370
31 ,TS,280,2022,"1,399"
34 ,TS,280,2022,"6,636"
36 ,TS,280,2022,"2,490"
37 ,TS,280,2022,"5,380"
38 ,TS,280,2022,55
40 ,TS,280,2022,"3,444"
43 ,TS,280,2022,"6,980"
46 ,TS,280,2022,"3,123"
47 ,TS,280,2022,653
48 ,TS,280,2022,155
49 ,TS,280,2022,846
50 ,TS,280,2022,"6,378"
51 ,TS,280,2022,332
52 ,TS,280,2022,"4,287"
53 ,TS,280,2022,"8,858"
54 ,TS,280,2022,128
55 ,TS,280,2022,"18,725"
56 ,TS,280,2022,"2,144"
58 ,TS,280,2022,"1,721"
61 ,TS,280,2022,969
62 ,TS,280,2022,0
64 ,TS,280,2022,671
67 ,TS,280,2022,"11,866"
69 ,TS,280,2022,468
70 ,TS,280,2022,630
71 ,TS,280,2022,458
72 ,TS,280,2022,"2,775"
73 ,TS,280,2022,148
74 ,TS,280,2022,6
80 ,TS,280,2022,"2,678"
81 ,TS,280,2022,"1,639"
82 ,TS,280,2022,27
83 ,TS,280,2022,"1,170"
84 ,TS,280,2022,574
85 ,TS,280,2022,"6,455"
86 ,TS,280,2022,"1,455"
10 ,TNS,340,2022,"23,619"
12 ,TNS,340,2022,"17,092"
13 ,TNS,340,2022,"17,611"
14 ,TNS,340,2022,"12,753"
16 ,TNS,340,2022,"13,642"
17 ,TNS,340,2022,"9,970"
18 ,TNS,340,2022,"7,512"
19 ,TNS,340,2022,"4,863"
20 ,TNS,340,2022,"7,958"
22 ,TNS,340,2022,"11,431"
23 ,TNS,340,2022,"6,113"
24 ,TNS,340,2022,"4,333"
25 ,TNS,340,2022,"9,240"
28 ,TNS,340,2022,"8,128"
29 ,TNS,340,2022,"2,355"
30 ,TNS,340,2022,823
31 ,TNS,340,2022,"6,150"
34 ,TNS,340,2022,"4,783"
36 ,TNS,340,2022,"2,871"
37 ,TNS,340,2022,"9,837"
38 ,TNS,340,2022,"5,969"
40 ,TNS,340,2022,"7,804"
43 ,TNS,340,2022,"7,416"
46 ,TNS,340,2022,"22,333"
47 ,TNS,340,2022,"7,233"
48 ,TNS,340,2022,"6,151"
49 ,TNS,340,2022,"17,240"
50 ,TNS,340,2022,"10,560"
51 ,TNS,340,2022,768
52 ,TNS,340,2022,"9,999"
53 ,TNS,340,2022,"18,854"
54 ,TNS,340,2022,185
55 ,TNS,340,2022,"16,030"
56 ,TNS,340,2022,"14,080"
58 ,TNS,340,2022,"6,176"
61 ,TNS,340,2022,"3,889"
62 ,TNS,340,2022,5
64 ,TNS,340,2022,"5,182"
67 ,TNS,340,2022,"9,519"
69 ,TNS,340,2022,"2,060"
70 ,TNS,340,2022,"8,770"
71 ,TNS,340,2022,"10,739"
72 ,TNS,340,2022,"6,116"
73 ,TNS,340,2022,"4,727"
74 ,TNS,340,2022,0
80 ,TNS,340,2022,"8,906"
81 ,TNS,340,2022,"7,839"
82 ,TNS,340,2022,"5,843"
83 ,TNS,340,2022,"8,880"
84 ,TNS,340,2022,"21,331"
85 ,TNS,340,2022,"7,431"
86 ,TNS,340,2022,"13,732"
10 ,TNS,350,2022,"1,422"
12 ,TNS,350,2022,"1,397"
13 ,TNS,350,2022,207
14 ,TNS,350,2022,"1,013"
16 ,TNS,350,2022,"5,051"
17 ,TNS,350,2022,"3,569"
18 ,TNS,350,2022,"6,091"
19 ,TNS,350,2022,"3,089"
20 ,TNS,350,2022,"1,667"
22 ,TNS,350,2022,"3,067"
23 ,TNS,350,2022,"2,231"
24 ,TNS,350,2022,"4,281"
25 ,TNS,350,2022,"4,476"
28 ,TNS,350,2022,"3,577"
29 ,TNS,350,2022,"1,273"
30 ,TNS,350,2022,462
31 ,TNS,350,2022,"3,621"
34 ,TNS,350,2022,"3,400"
36 ,TNS,350,2022,"2,390"
37 ,TNS,350,2022,"7,750"
38 ,TNS,350,2022,"5,158"
40 ,TNS,350,2022,"7,268"
43 ,TNS,350,2022,"15,351"
46 ,TNS,350,2022,"5,531"
47 ,TNS,350,2022,"1,795"
48 ,TNS,350,2022,"2,185"
49 ,TNS,350,2022,"3,472"
50 ,TNS,350,2022,"4,632"
51 ,TNS,350,2022,"1,892"
52 ,TNS,350,2022,"5,910"
53 ,TNS,350,2022,"2,459"
54 ,TNS,350,2022,109
55 ,TNS,350,2022,"4,098"
56 ,TNS,350,2022,"3,636"
58 ,TNS,350,2022,"3,979"
61 ,TNS,350,2022,"1,720"
62 ,TNS,350,2022,0
64 ,TNS,350,2022,"5,255"
67 ,TNS,350,2022,"5,394"
69 ,TNS,350,2022,"1,412"
70 ,TNS,350,2022,"3,785"
71 ,TNS,350,2022,"1,702"
72 ,TNS,350,2022,727
73 ,TNS,350,2022,"2,156"
74 ,TNS,350,2022,0
80 ,TNS,350,2022,90
81 ,TNS,350,2022,64
82 ,TNS,350,2022,"1,598"
83 ,TNS,350,2022,50
84 ,TNS,350,2022,167
85 ,TNS,350,2022,23
86 ,TNS,350,2022,198
10 ,TNS,320,2022,59
12 ,TNS,320,2022,62
13 ,TNS,320,2022,64
14 ,TNS,320,2022,98
16 ,TNS,320,2022,51
17 ,TNS,320,2022,37
18 ,TNS,320,2022,27
19 ,TNS,320,2022,9
20 ,TNS,320,2022,11
22 ,TNS,320,2022,106
23 ,TNS,320,2022,38
24 ,TNS,320,2022,17
25 ,TNS,320,2022,51
28 ,TNS,320,2022,24
29 ,TNS,320,2022,4
30 ,TNS,320,2022,0
31 ,TNS,320,2022,21
34 ,TNS,320,2022,6
36 ,TNS,320,2022,3
37 ,TNS,320,2022,27
38 ,TNS,320,2022,2
40 ,TNS,320,2022,8
43 ,TNS,320,2022,6
46 ,TNS,320,2022,76
47 ,TNS,320,2022,19
48 ,TNS,320,2022,3
49 ,TNS,320,2022,41
50 ,TNS,320,2022,22
51 ,TNS,320,2022,0
52 ,TNS,320,2022,25
53 ,TNS,320,2022,59
54 ,TNS,320,2022,2
55 ,TNS,320,2022,49
56 ,TNS,320,2022,28
58 ,TNS,320,2022,98
61 ,TNS,320,2022,6
62 ,TNS,320,2022,1
64 ,TNS,320,2022,17
67 ,TNS,320,2022,21
69 ,TNS,320,2022,0
70 ,TNS,320,2022,29
71 ,TNS,320,2022,22
72 ,TNS,320,2022,5
73 ,TNS,320,2022,4
74 ,TNS,320,2022,0
80 ,TNS,320,2022,82
81 ,TNS,320,2022,40
82 ,TNS,320,2022,7
83 ,TNS,320,2022,45
84 ,TNS,320,2022,68
85 ,TNS,320,2022,32
86 ,TNS,320,2022,55
10 ,TNS,345,2022,46
12 ,TNS,345,2022,25
13 ,TNS,345,2022,27
14 ,TNS,345,2022,10
16 ,TNS,345,2022,16
17 ,TNS,345,2022,2
18 ,TNS,345,2022,5
19 ,TNS,345,2022,3
20 ,TNS,345,2022,9
22 ,TNS,345,2022,2
23 ,TNS,345,2022,4
24 ,TNS,345,2022,2
25 ,TNS,345,2022,3
28 ,TNS,345,2022,2
29 ,TNS,345,2022,0
30 ,TNS,345,2022,0
31 ,TNS,345,2022,1
34 ,TNS,345,2022,1
36 ,TNS,345,2022,2
37 ,TNS,345,2022,0
38 ,TNS,345,2022,0
40 ,TNS,345,2022,0
43 ,TNS,345,2022,0
46 ,TNS,345,2022,27
47 ,TNS,345,2022,0
48 ,TNS,345,2022,1
49 ,TNS,345,2022,3
50 ,TNS,345,2022,2
51 ,TNS,345,2022,0
52 ,TNS,345,2022,4
53 ,TNS,345,2022,2
54 ,TNS,345,2022,0
55 ,TNS,345,2022,4
56 ,TNS,345,2022,0
58 ,TNS,345,2022,0
61 ,TNS,345,2022,1
62 ,TNS,345,2022,0
64 ,TNS,345,2022,0
67 ,TNS,345,2022,1
69 ,TNS,345,2022,0
70 ,TNS,345,2022,7
71 ,TNS,345,2022,12
72 ,TNS,345,2022,0
73 ,TNS,345,2022,2
74 ,TNS,345,2022,0
80 ,TNS,345,2022,42
81 ,TNS,345,2022,40
82 ,TNS,345,2022,9
83 ,TNS,345,2022,24
84 ,TNS,345,2022,31
85 ,TNS,345,2022,5
86 ,TNS,345,2022,47
10,TS,151,2022,"5,439"
12,TS,151,2022,"1,137"
13,TS,151,2022,695
14,TS,151,2022,"1,578"
16,TS,151,2022,"1,096"
17,TS,151,2022,177
18,TS,151,2022,303
19,TS,151,2022,84
20,TS,151,2022,199
22,TS,151,2022,565
23,TS,151,2022,225
24,TS,151,2022,73
25,TS,151,2022,265
28,TS,151,2022,430
29,TS,151,2022,81
30,TS,151,2022,4
31,TS,151,2022,169
34,TS,151,2022,98
36,TS,151,2022,71
37,TS,151,2022,268
38,TS,151,2022,15
40,TS,151,2022,167
43,TS,151,2022,125
46,TS,151,2022,"2,020"
47,TS,151,2022,866
48,TS,151,2022,197
49,TS,151,2022,559
50,TS,151,2022,272
51,TS,151,2022,6
52,TS,151,2022,260
53,TS,151,2022,"1,945"
54,TS,151,2022,0
55,TS,151,2022,686
56,TS,151,2022,"1,133"
58,TS,151,2022,138
61,TS,151,2022,100
62,TS,151,2022,0
64,TS,151,2022,33
67,TS,151,2022,214
69,TS,151,2022,0
70,TS,151,2022,48
71,TS,151,2022,457
72,TS,151,2022,118
73,TS,151,2022,21
74,TS,151,2022,0
80,TS,151,2022,"2,806"
81,TS,151,2022,533
82,TS,151,2022,118
83,TS,151,2022,656
84,TS,151,2022,"1,646"
85,TS,151,2022,802
86,TS,151,2022,"4,363"
10,TS,152,2022,134
12,TS,152,2022,391
13,TS,152,2022,20
14,TS,152,2022,81
16,TS,152,2022,986
17,TS,152,2022,390
18,TS,152,2022,313
19,TS,152,2022,17
20,TS,152,2022,11
22,TS,152,2022,17
23,TS,152,2022,10
24,TS,152,2022,3
25,TS,152,2022,72
28,TS,152,2022,5
29,TS,152,2022,21
30,TS,152,2022,0
31,TS,152,2022,5
34,TS,152,2022,"6,054"
36,TS,152,2022,8
37,TS,152,2022,20
38,TS,152,2022,1
40,TS,152,2022,"1,958"
43,TS,152,2022,11
46,TS,152,2022,"1,423"
47,TS,152,2022,146
48,TS,152,2022,71
49,TS,152,2022,"1,166"
50,TS,152,2022,46
51,TS,152,2022,0
52,TS,152,2022,15
53,TS,152,2022,6
54,TS,152,2022,0
55,TS,152,2022,19
56,TS,152,2022,16
58,TS,152,2022,"6,538"
61,TS,152,2022,548
62,TS,152,2022,26
64,TS,152,2022,"1,348"
67,TS,152,2022,"4,508"
69,TS,152,2022,7
70,TS,152,2022,"1,565"
71,TS,152,2022,16
72,TS,152,2022,17
73,TS,152,2022,867
74,TS,152,2022,3
80,TS,152,2022,89
81,TS,152,2022,22
82,TS,152,2022,1
83,TS,152,2022,14
84,TS,152,2022,60
85,TS,152,2022,212
86,TS,152,2022,6
10,TS,153,2022,"1,462"
12,TS,153,2022,"2,099"
13,TS,153,2022,269
14,TS,153,2022,141
16,TS,153,2022,66
17,TS,153,2022,35
18,TS,153,2022,17
19,TS,153,2022,"1,586"
20,TS,153,2022,1
22,TS,153,2022,"1,401"
23,TS,153,2022,311
24,TS,153,2022,118
25,TS,153,2022,"1,188"
28,TS,153,2022,88
29,TS,153,2022,31
30,TS,153,2022,0
31,TS,153,2022,"4,443"
34,TS,153,2022,57
36,TS,153,2022,17
37,TS,153,2022,8
38,TS,153,2022,15
40,TS,153,2022,"13,729"
43,TS,153,2022,9
46,TS,153,2022,20
47,TS,153,2022,11
48,TS,153,2022,1
49,TS,153,2022,44
50,TS,153,2022,17
51,TS,153,2022,1
52,TS,153,2022,140
53,TS,153,2022,262
54,TS,153,2022,0
55,TS,153,2022,7
56,TS,153,2022,8
58,TS,153,2022,751
61,TS,153,2022,"2,129"
62,TS,153,2022,0
64,TS,153,2022,"1,827"
67,TS,153,2022,429
69,TS,153,2022,3
70,TS,153,2022,"1,035"
71,TS,153,2022,28
72,TS,153,2022,108
73,TS,153,2022,159
74,TS,153,2022,0
80,TS,153,2022,521
81,TS,153,2022,"2,989"
82,TS,153,2022,30
83,TS,153,2022,"1,087"
84,TS,153,2022,"1,036"
85,TS,153,2022,45
86,TS,153,2022,210
10,TS,154,2022,302
12,TS,154,2022,203
13,TS,154,2022,"2,181"
14,TS,154,2022,522
16,TS,154,2022,10
17,TS,154,2022,48
18,TS,154,2022,31
19,TS,154,2022,"1,819"
20,TS,154,2022,1
22,TS,154,2022,"2,319"
23,TS,154,2022,548
24,TS,154,2022,115
25,TS,154,2022,"6,269"
28,TS,154,2022,"4,774"
29,TS,154,2022,698
30,TS,154,2022,7
31,TS,154,2022,"4,835"
34,TS,154,2022,35
36,TS,154,2022,"1,758"
37,TS,154,2022,"2,890"
38,TS,154,2022,78
40,TS,154,2022,30
43,TS,154,2022,"9,542"
46,TS,154,2022,37
47,TS,154,2022,31
48,TS,154,2022,7
49,TS,154,2022,395
50,TS,154,2022,50
51,TS,154,2022,2
52,TS,154,2022,"1,248"
53,TS,154,2022,"2,339"
54,TS,154,2022,1
55,TS,154,2022,"1,252"
56,TS,154,2022,158
58,TS,154,2022,"3,423"
61,TS,154,2022,"1,282"
62,TS,154,2022,2
