gov_name_f,gov_id,Projet,Espace_Association,Subvention
Médenine,52,مهرجان فرحات يامون للمسرح,جمعية النهوض المسرحي بجربة,30000
Médenine,52,الدورة الثانية لمهرجان مسرح الأحياء,فضاء المسرح الصغير,10000
Médenine,52,طلب منحة تسيير,المركز الثقافي الخاص مسار 28,20000
Médenine,52,مهرجان تراكن المدينة الدورة 2,المركز الثقافي الخاص   lab dart,10000
Médenine,52,تظاهرة ملحمة بن قردان,,25000
Médenine,52,بشبابنا نحيي بلادنا,مبادرة فردية,23000
Tataouine,53,,,0
Gafsa,61,ملتقي قفصة لمسارح العرائس,فضاء فنون و ثقافات,17000
Gafsa,61,أنشطة ثقافية,المركز الثقافي علي جيدة,40000
Gafsa,61,ايام التاكسي الثقافي ,جمعية نجوم التنشيط ,10000
Gafsa,61,الذكرة المنجمية ,مبادرة فردية ,24000
Tozeur,62,فنون وحرف,مبادرة فردية,10000
Kebili,63,طلب منحة تسيير,دار صالح للفنون,50000
Kebili,63,مهرجان دوز العربي للفن الرابع,فرقة بلدية دوز للتمثيل,25000
