gov_name_f,gov_id,Subvention
Tunis,11,784000
Ariana,12,29000
Ben Arous,13,44400
Manubah,14,10500
Nabeul,15,70000
Zaghouan,16,28000
Bizerte,17,102000
Béja,21,46730
Jendouba,22,27800
Le Kef,23,43000
Siliana,24,2887.528
Sousse,31,133500
Monastir,32,10500
Mahdia,33,55784.95
Sfax,34,185000
Kairouan,41,41000
Kassérine,42,98361.756
Sidi Bou Zid,43,20000
Gabès,51,57000
Médenine,52,155000
Tataouine,53,
Gafsa,61,91000
Tozeur,62,10000
Kebili,63,75000
