gov_name_f,gov_id,Subvention
Tunis,11,490000
Ariana,12,21000
Ben Arous,13,10000
Manubah,14,22000
Nabeul,15,3000
Zaghouan,16,20000
Bizerte,17,25000
Béja,21,10000
Jendouba,22,37000
Le Kef,23,20000
Siliana,24,20000
Sousse,31,70000
Monastir,32,10000
Mahdia,33,10000
Sfax,34,6000
Kairouan,41,5000
Kassérine,42,138000
Sidi Bou Zid,43,155000
Gabès,51,50000
Médenine,52,95000
Tataouine,53,40000
Gafsa,61,61000
Tozeur,62,
Kebili,63,8000
