gov_name_f,gov_id,Subvention
Tunis,11,1538600
Ariana,12,25000
Ben Arous,13,57000
Manubah,14,
Nabeul,15,11000
Zaghouan,16,52730
Bizerte,17,25000
Béja,21,80000
Jendouba,22,44000
Le Kef,23,113425
Siliana,24,51100
Sousse,31,110000
Monastir,32,20000
Mahdia,33,32700
Sfax,34,34000
Kairouan,41,36380
Kassérine,42,128750.596
Sidi Bou Zid,43,132000
Gabès,51,42000
Médenine,52,60000
Tataouine,53,8000
Gafsa,61,22000
Tozeur,62,67750
Kebili,63,120000
