Année;Projets_crées;Montant_investissement;Nbr_emplois;Nbr_investissements
2017;11;478200.000;55;11
2018;7;10173000.000;38;7
2019;16;482500.000;38;16
2020;13;124000.000;29;13
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
