secteur,nbre tranches,Tranches immatérielles,Tranches matérielles,TOTAL
IAA,432,"87,223,986","11,110,521","98,334,507"
ICC,123,"5,696,555","1,348,778","7,045,333"
ICH,272,"42,812,649","4,741,625","47,554,274"
ID,625,"78,941,314","8,385,440","87,326,754"
IMCCV,259,"80,316,521","6,499,946","86,816,467"
IME,554,"95,788,608","15,485,466","111,274,074"
IS,155,"3,434,070","5,906,730","9,340,800"
ITH,"1,354","90,052,521","20,731,682","110,784,203"
