YEAR,Tranches débloqués,Primes débloquées,Prime Matérielle,Prime Immaterielle,Prime Diagnostic
1996,0,"247,879",0,0,"247,879"
1997,10,"2,416,601","897,069","210,521","1,309,011"
1998,42,"9,457,326","6,347,271","1,196,707","1,913,348"
1999,49,"8,815,502","6,220,739","481,099","2,113,664"
2000,88,"15,759,052","11,955,366","1,542,727","2,260,959"
2001,191,"19,966,229","16,170,745","1,758,566","2,036,918"
2002,216,"28,761,014","23,587,663","3,361,219","1,812,132"
2003,244,"36,963,402","31,481,765","3,592,846","1,888,791"
2004,261,"41,814,257","32,555,199","7,012,925","2,246,133"
2005,227,"32,314,908","25,315,422","4,813,539","2,185,947"
2006,258,"30,585,151","24,765,326","4,545,785","1,274,040"
2007,239,"31,649,803","25,461,380","4,718,856","1,469,567"
2008,269,"31,693,950","24,327,954","5,299,033","2,066,963"
2009,267,"41,624,380","32,784,032","6,837,968","2,002,380"
2010,222,"45,766,874","34,814,877","8,341,734","2,610,263"
2011,255,"44,848,363","37,601,919","4,704,961","2,541,483"
2012,181,"33,154,514","27,530,358","3,534,222","2,089,934"
2013,216,"42,905,032","36,228,449","4,239,626","2,436,957"
2014,220,"42,942,813","37,393,073","3,236,873","2,312,867"
2015,223,"40,356,682","34,429,642","3,818,600","2,108,440"
2016,96,"16,265,057","14,397,975","962,381","904,701"
