N,Entreprise,Date de fondation,fondateur,Adresse,Tel
1,Les créateurs,06/10/2006,noura bel haj / inactif,17 rue El Qods avenue awled ben salem msaken-est sousse,98.685.856
2,Souhir ghachem art,01/03/2009,souhir ghachem, immeuble malouli avenue abou hamed ghazali bouhsina Sousse,98.246.012
3,Fil en bleu,19/01/2016,omar malouli,rue ibn aghaliba immeuble ilèf 3è étage n°32 khzama-est sousse,20.979.373
4,Elbirou ,09/11/2015, karim sghair,8 avenue 22 janvier 1952 sousse 4000,35.8297473
5,Emprintes ,15/12/2015, amani bayati,16 rue kacem amine sahloul 2 sousse,99.792.953
6,Ken’ Art,13/11/2015,slaheddine smaoui,village ken route sousse kilomètre 82 bouficha sousse,73.252.110
7,Dar founoun sousse,25/05/2016,farouk zahi,Place de la gare Z1 2ème étage Sousse,52.878.878
8,Dar zitouna pour le tourisme et les arts,13/03/2017,farouk farouh,zaarna-est kalaâ kbira sousse,31.590.622
9,Plume et passion,23/03/2018,makrem dachraoui,4 avenue ajmi mhiri route ceinture ghrabi hammam sousse,98.598.602
