gov_name_f,gov_name_a,gov_id,Nom_du_site,Nom_monument,Dtae,Latitude,Longitude,,
Tunis,تونس,11,قرطاج,الكنيسة الآثرية المجاورة لدير سانت مونيك,03/05/1920,"36°51'43.34""N","10°20'19.29""E",,
Tunis,تونس,11,قرطاج,الكنيسة الكبرى بالمصيدفة المجريوم,13/03/1912,"36°52'9.23""N","10°19'55.08""E",,
Tunis,تونس,11,قرطاج,الكنيسة الكبيرة بدرمش,06/01/1901,"36°51'1.48""N","10°19'38.61""E",,
Tunis,تونس,11,قرطاج,المساكن الرومانية بدرمش,16/11/1928,"36°51'4.70""N","10°19'40.18""E",,
Tunis,تونس,11,قرطاج,المساكن والشوارع الرومانية بأرض المورالي,01/03/1905,"36°51'3.85""N","10°19'37.80""E",,
Tunis,تونس,11,قرطاج,المسرح الآثري,01/03/1905,"36°51'31.88""N","10°19'50.27""E",,
Tunis,تونس,11,قرطاج,المعلم ذو الآعمدة,25/01/1922,"36°51'23.91""N","10°19'31.23""E",,
Tunis,تونس,11,قرطاج,المقبرة البونية ببرج الجديد,08/05/1895,"36°51'26.26""N","10°20'3.55""E",,
Tunis,تونس,11,قرطاج,المقبرة البونية بدرمش,06/01/1901,"36°51'0.73""N","10°19'45.04""E",,
Tunis,تونس,11,قرطاج,المنزل الآثري بهضبة بيرصة,08/05/1895,"36°51'9.69""N","10°19'28.21""E",,
Tunis,تونس,11,قرطاج,المنزل ذو الآروقة (الكريبتوبورتيك),01/03/1905,"36°51'13.59""N","10°19'24.09""E",,
Tunis,تونس,11,قرطاج,الموانئ البونية,12/05/1901,"36°50'42.66""N","10°19'31.70""E",,
Tunis,تونس,11,قرطاج,أبراج برج الجديد,13/03/1912,"36°51'19.88""N","10°20'8.81""E",,
Tunis,تونس,11,قرطاج,أثار سور هضبة بيرصة,08/05/1895,"36°51'13.44""N","10°19'28.78""E",,
Tunis,تونس,11,قرطاج,أثار كنيسة سانت اتيان,01/03/1905,"36°51'13.54""N","10°19'24.10""E",,
Tunis,تونس,11,قرطاج,أثار هضبة الآوديون,12/05/1901,"36°51'27.32""N","10°19'40.60""E",,
Tunis,تونس,11,قرطاج,أثار هضبة بيرصة,08/05/1895,"36°51'8.67""N","10°19'22.08""E",,
Tunis,تونس,11,قرطاج,جامع دوار الشط 13 شارع الهادي شاكر,29/07/2002,"36°50'47.49""N","10°19'6.73""E",,
Tunis,تونس,11,قرطاج,جزيرة القيادة بالموانئ البونية,13/03/1912,"36°50'42.18""N","10°19'31.58""E",,
Tunis,تونس,11,قرطاج,حمام أنطنيوس بدرمش,12/05/1901,"36°51'15.26""N","10°20'6.02""E",,
Tunis,تونس,11,قرطاج,حمام ديدون,01/03/1905,"36°51'9.49""N","10°19'28.18""E",,
Tunis,تونس,11,قرطاج,حنايا صهاريج المعلقة,12/05/1901,"36°51'33.60""N","10°19'7.42""E",,
Tunis,تونس,11,قرطاج,دار أريادن,16/11/1928,"36°51'13.54""N","10°19'24.06""E",,
Tunis,تونس,11,قرطاج,صهاريج البرج الجديد,12/05/1901,"36°51'25.27""N","10°20'4.54""E",,
Tunis,تونس,11,قرطاج,صهاريج المعلقة,12/05/1901,"36°51'34.30""N","10°19'7.43""E",,
Tunis,تونس,11,قرطاج,صهاريج دار السانية,13/03/1912,"36°51'34.76""N","10°19'4.87""E",,
Tunis,تونس,11,قرطاج,صهاريج هضبة بيرصة,08/05/1895,"36°51'8.68""N","10°19'22.09""E",,
Tunis,تونس,11,قرطاج,عين أوتير فيليكس,16/11/1928,"36°51'13.43""N","10°19'23.95""E",,
Tunis,تونس,11,قرطاج,كنيسة داموس الكريطة,08/05/1895,"36°51'43.43""N","10°19'55.53""E",,
Tunis,تونس,11,قرطاج,كنيسة سان سبريان,16/11/1928,"36°51'50.12""N","10°20'14.98""E",,
Tunis,تونس,11,قرطاج,مقر المعهد الثانوي بقرطاج الرئاسة,15/01/2001,"36°51'34.64""N","10°20'4.31""E",,
