Classement_decimal,Langue_arabe,Langues_etrangeres
عموميات,295,242
فلسفة,137,47
دين,145,71
علوم_اجتماعية,678,462
لغة,89,29
علوم_بحتة,34,24
علوم _تطبيقية,51,64
فنون_جميلة,162,227
اداب,351,75
تاريخ_جغرافيا,444,324
نصوص,287,30
قصص,155,82
