Nom du projet,propriétaire du projet,montant de subvention,thème du projet
حائط المعرفة ما وراء الحائط ,عبد الحميد الأرقش,96300,إنتاج شريط سينمائي
التراث الشعبي الموسيقي بجهة وذرف وصوت دينار,أكرم منصر,40000,إنتاج شريط سينمائي
مهرجان الأضواء ببنزرت,يوسف بوعجاجة,100000,عمل فني عن طريق الأضواء 
دينار,اسكندر عبد السلام,18000,إنتاج شريط سينمائي
رحلة نجع,صحبي فرج,50000,إنتاج شريط سينمائي
صفاقس بين الذاكرة والتاريخ صفاقس ذاكرة المكان,عبد القادر الجربي,120000,إنتاج شريط سينمائي
الرشيدية,مختار العجيمي,200000,إنتاج شريط سينمائي
رحلة وجدان,خالد البرصاوي,75000,إنتاج شريط سينمائي
