Nom du projet,propriétaire du projet,montant de subvention,thème du projet
فم البير,شيراز البوزيددي,120000,إنتاج شريط سينمائي
رؤوف قارة ذاكرة البحر,وسيم القربي,50000,إنتاج شريط سينمائي
"L’odyssée selon mbarka
le dernier voyage
",عصام السعيدي,190000,إنتاج شريط سينمائي
سينما المخبر,عبد الله شامخ,50000,ورشات تكوينية
سيدة من تحت الرماد,سمية بوعلاقي,50000,إنتاج شريط سينمائي
الحمال,مراد العابد,110000,إنتاج شريط سينمائي
صفاقس المدينة العتيقة,محمد بن محمود,660000,إنتاج شريط سينمائي
