Categorie,Etat,Grade,Nombre-2021
إطار,قار,أ1,44
إطار,قار,أ2,24
إطار,قار,أ3,15
عون,قار, ب,17
عون,قار, ج,9
عون,قار,  د,5
عامل,قار,10,11
عامل,قار,9,1
عامل,قار,8,5
عامل,قار,7,2
عامل,قار,6,5
عامل,قار,5,4
عامل,قار,4,10
عامل,قار,3,5
عامل,قار,2,1
عامل,قار,1,0
منشط ,غير قار,متعاقد بنظام الحصة,28
منشط ,غير قار,متعاقد مع المؤسسة الوطنية,13
عون عرضي  ,غير قار,الحضائر الجهوية,7
