Secteur;dossiers approuvés;Primes Matérielle;Primes Immatérielle;Total primes;Invest. Matériels;Invest. Immatériels;Total Investissements;;;;;;;;;
IAA; 1,371 ; 11,976,253 ; 15,506,682 ; 27,482,935 ; 47,819,571 ; 37,398,892 ; 85,218,463 ;;;;;;;;;
ICC; 371 ; 2,923,095 ; 4,555,461 ; 7,478,556 ; 11,289,691 ; 9,612,376 ; 20,902,067 ;;;;;;;;;
ICH; 748 ; 7,695,856 ; 7,739,603 ; 15,435,459 ; 25,239,008 ; 18,671,427 ; 43,910,435 ;;;;;;;;;
ID; 1,252 ; 6,769,529 ; 17,506,200 ; 24,275,729 ; 36,510,429 ; 41,877,311 ; 78,387,740 ;;;;;;;;;
IMCCV; 341 ; 2,683,019 ; 5,090,527 ; 7,773,546 ; 11,781,835 ; 14,044,029 ; 25,825,864 ;;;;;;;;;
IME; 1,930 ; 12,750,379 ; 25,297,940 ; 38,048,319 ; 62,413,171 ; 60,983,654 ; 123,396,825 ;;;;;;;;;
ITH; 3,723 ; 34,886,330 ; 51,009,890 ; 85,896,220 ; 145,135,706 ; 122,267,724 ; 267,403,430 ;;;;;;;;;
IS; 974 ; 4,560,405 ; 12,957,168 ; 17,517,573 ; 30,146,980 ; 34,314,480 ; 64,461,460 ;;;;;;;;;
