مشاريع البنية التحتية بمنّوبة ,,,,,,,,
نسبة التقدم في الأشغال %,المرحلة الحالية للمشروع,الأطراف الممولة للمشروع,الملكية  الحالية للعقار,مبلغ التعهد,سنة الترسيم بالميزانية,وضعية الملف (1),طبيعة المشروع,بيان المشروع
"99,00 %",تم القبول الوقتي للمشروع بتاريخ 28 /2023/12 ,الوزارة,وزارة الشؤون الثقافية,2982000,2012,في طور الاستلام الوقتي,دار ثقافة,بناء دار الثقافة وادي الليل
,تمّ فرز العروض وإسناد الصفقة ,الوزارة,وزارة الشؤون الثقافية,7570000,2014,في طور اسناد الصفقة,مركب الثقافي, بناء المركب الثقافي ومقر المندوبية الجهوية للشؤون الثقافية
