Manifestations- salles de cinéma-associations,Nombre ,Montant-de-la-subvention
Manifestations Nationales,2,2130000
Manifestations Régionales,16,293000
Manifestations Internationales,1,185000
Salles de cinéma réaménageés ,6,369500
Associations ,16,293000
