تصنيف الجمعيات,عدد الجمعيات
ثقافية ( شاملة ),8
جمعيات المهرجانات الصيفية,7
 موسيقية,0
جمعيات احباء دور الثقافة,0
جمعيات أحباء المكتبات العمومية,4
جمعيات الفنون التشكيلية,0
جمعيات مسرحية,2
جمعيات سينمائية,2
جمعيات في مجال التراث,2
