gov_name_f,gov_id,Subvention
Tunis,11,486900
Ariana,12,22000
Ben Arous,13,10000
Manubah,14,15000
Nabeul,15,4000
Zaghouan,16,27000
Bizerte,17,10000
Béja,21,20000
Jendouba,22,
Le Kef,23,10000
Siliana,24,20900
Sousse,31,154000
Monastir,32,25000
Mahdia,33,
Sfax,34,20000
Kairouan,41,52000
Kassérine,42,57000
Sidi Bou Zid,43,41000
Gabès,51,15000
Médenine,52,18000
Tataouine,53,100000
Gafsa,61,35000
Tozeur,62,52300
Kebili,63,10000
