Bibliothèques,Livres arabes,Livres étrangers 
Bibliothèque régionale Sousse,8517,1825
Bibliothèque public sahloul,6886,1735
Bibliothèque public k kbira,0,0
Bibliothèque public k kbira (enf),13861,2095
Bibliothèque public akouda ,1515,456
Bibliothèque public hergla,5946,1183
Bibliothèque public sidi bou ali ,1168,284
Bibliothèque public nfidha,4718,1354
Bibliothèque public kondar,6027,543
Bibliothèque public bouficha ,0,0
Bibliothèque public zaouiet sousse ,4647,1131
Bibliothèque public ksibet sousse ,3019,605
Bibliothèque public zouhour ,3910,967
Bibliothèque public msaken ,8379,1603
Bibliothèque public massadine,5764,621
Bibliothèque public k sghira ,1863,619
Bibliothèque public cité matar ,3703,565
Bibliothèque public hadrumet,4417,763
Bibliothèque public hamam sousse ,3508,778
Bibliothèque public nfidha (enf) ,3698,856
Bib pub msaken mahata (ouvert en 2024),530,309
Bib pub knayes (ouvert en 2024),1200,450
