Date;Importations d’Essences. en kt;Importations de Pétrole lampant. en kt;Importations de Fuel. en kt;Importations de Gasoil. en kt;Importations de Jet. en kt;Importations de GPL. en kt;Importations de Petcoke. en kt;Importations de White spirit. en kt;Importations Total. en kt
12 / 2020;56.761;;0;152.88;0;49.922;64.9213999999999;;324.4844
1 / 2021;29.92;;19.351;163.313;14.958;53.807;68.89526;;350.24426
2 / 2021;30.051;;20.936;93.17;12.978;42.409;78.58202;;278.12602
3 / 2021;33.486;0;0;164.858;-0.027000000000001;52.015;72.91854;0;323.25054
4 / 2021;88.145;0;19.724;94.107;0;32.219;70.17626;0;304.37126
5 / 2021;48.255;0;20.81;124.296;15.43;41.37;58.71538;0;308.87638
6 / 2021;41.538;0;20.461;28.525;0;32.384;51.4299999999999;0;174.338
7 / 2021;61.519;0;20.573;125.744;18.403;30.937;87.62388;0;344.79988
8 / 2021;28.322;0;15.732;155.93;30.86;29.011;53.59016;0;313.44516
9 / 2021;84.352;0;10.029;127.13;0;27.994;80.0741999999999;0;329.5792
10 / 2021;58.5;0;10.003;123.852;12.564;38.686;33.83;0;277.435
11 / 2021;53.412;0;10.077;92.994;14.309;49.799;79.1860800000001;0;299.77708
12 / 2021;61.388;0;20.031;66.332;15.318;54.3030000000001;62.74136;0;280.11336
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
