Year,Exportation totale de HO (mT),Exportations de HO Conditionnée (mT)
2005,"135.8","1.3"
2006,"194.1","1.9"
2007,"179.3","2.4"
2008,142,"5.5"
2009,"99.6","7.3"
2010,108,"12.9"
2011,147,13
2012,"151.5","15.5"
2013,54,"16.5"
2014,311,20
