CRE;Ecole primaire;Nombre total des élèves;Nombre des élèves bénifiçiares de la cantine;Adresse de l'école;Distance entre le banque d'alimentation et l'école;Contient une salle à manger (oui/non);Long;Lat
باجة;م.إ.  أولاد مرعي;0;118;طريق الماطرية الملعب البلدى بتبرسق  ;62;لا توجد معطيات;9,22977;36,550581
باجة;م.إ.   عين طنقا;0;58;عين طنقا تستور ;62;لا توجد معطيات;9,358875;36,525395
باجة;م.إ.  ابن خلدون قبلاط 2;0;110;قبلاط ;63;لا توجد معطيات;9,660177;36,550345
باجة;م.إ.  توكابر;0;110;توكابر;63;لا توجد معطيات;9,522851;36,708726
باجة;م.إ.  سيدي مدين;0;120;سيدي مدين;64;لا توجد معطيات;9,7556554;36,631684
باجة;م.إ.  القمرتي;0;70;قبلاط ;65;لا توجد معطيات;9,38;36,32
باجة;م.إ.  أولاد سلامة;0;135;أولتد سلامة تستور ;65;لا توجد معطيات;9,492695272;36,51565926
باجة;م.إ.  وادي الجدرة;0;67;وادي الجدرة تستور;65;لا توجد معطيات;9,352692;36,551048
باجة;م.إ.  شواش;0;70;شواش;68;لا توجد معطيات;9,539617;36,711604
باجة;م.إ.  القريعات 2;0;177;القريعات2;68;لا توجد معطيات;9,784028;36,660136
باجة;م.إ. السنايسيـة;0;23;تستور ;68;لا توجد معطيات;9,489769;36,49429
باجة;م.إ.  عين الحمام;0;18;طريق دقة أثار ريحانة;69;لا توجد معطيات;9,124896;36,38148
باجة;م.إ.  قرام;0;130;قبلاط ;69;لا توجد معطيات;9,6108564;36,520456
باجة;م.إ.  خنيقة الدهان;0;80;قبلاط ;70;لا توجد معطيات;9,664363;36,470278
باجة;م.إ.  حيدوس;0;40;حيدوس;70;لا توجد معطيات;9,59079;36,743328
باجة;م.إ. بئر العش;0;20;قبلاط ;74;لا توجد معطيات;9,625539;36,471525
باجة;م.إ.  القريعات1;0;11;القريعات1;74;لا توجد معطيات;9,746677;36,696989
باجة;م.إ.  سيدي نصر;0;75;قبلاط ;75;لا توجد معطيات;9,602755;36,472429
باجة;م.إ.  عين يونس;0;36;عين يونس تستور ;75;لا توجد معطيات;9,376696;36,443944
باجة;م.إ.  شيخ الوديان;0;215;قبلاط ;76;لا توجد معطيات;9,711994;36,496368
باجة;م.إ.  دور اسماعيل;0;125;قبلاط ;78;لا توجد معطيات;9,787282;36,549396
باجة;م.إ.  خشاب;0;155;قبلاط ;79;لا توجد معطيات;9,728283029;36,5540614
