CRE;Ecole primaire;Nombre total des élèves;Nombre des élèves bénifiçiares de la cantine;Adresse de l'école;Distance entre le banque d'alimentation et l'école;Contient une salle à manger (oui/non);Long;Lat
الكاف;م.إ.  سيدي عمر بن زغيد;53;0;طريق الكتف غ برنوصة 7119;44;نعم;8,639621;36,159777
الكاف;م.إ.  منزل سالم;121;0;منزل سالم;45;نعم;8,4756574;35,856227
الكاف;م.إ.  بوغلابة;19;0;بو غلابة;45;نعم;8,577606;35,921088
الكاف;م.إ.  العرقوب;86;0;العرقوب السرس;45;نعم;9,0542601;35,981929
الكاف;م.إ.  المرجى;113;0;المرجي السرس;46;نعم;;
الكاف;م.إ.  محطة الزعفران;40;0;محطة تلزعفران;47;نعم;8,8319436;36,157214
الكاف;م.إ.  المحطة;481;0;الكاف الشرقية;50;نعم;8,54445;35,852338
الكاف;م.إ. عين مرادة;44;0;عين مرادة;50;نعم;8,632952;35,904611
الكاف;م.إ.  بئر خذر;34;0;بير خذر;50;نعم;8,514029;35,95658
الكاف;م.إ.  فج مجالد;60;0;فج مجالد;50;نعم;8,576167;35,988776
الكاف;م.إ.  خنقة العطش;47;0;خنقة العطش;50;نعم;8,703485;35,943729
الكاف;م.إ.  سيدي نصر;46;0;سيدي نصر السرس;50;نعم;9,1512529;36,04007
الكاف;م.إ. التريشة;20;0;التريشة السرس;50;نعم;9,1321688;36,076935
الكاف;م.إ.  قرين الكلخ;45;0;قرين الكلخ;52;نعم;8,9819454;36,238909
الكاف;م.إ.  بوجريدة;40;0;بوجريدة;52;نعم;8,8162534;36,19053
الكاف;م.إ.  النعيمة;39;0;طريق الكاف برنوصة 7119;53;نعم;8,598153;36,10849
الكاف;م.إ.  اللاس;101;0;الاس السرس;53;نعم;9,0974435;35,948817
الكاف;م.إ.  سيدي بومفتاح;115;0;سبدي بومفتاح;57;نعم;8,7594957;36,148874
الكاف;م.إ.  الربيبة;48;0;قلعة سنان;58;نعم;8,3784836;35,795102
الكاف;م.إ.  الفراشيش;55;0;الفراشيش;60;نعم;8,8762393;36,145066
الكاف;م.إ.  جزة;71;0;جزة;60;نعم;8,6241356;35,964813
الكاف;م.إ.  سيدي مطير النجاة;39;0;سيدي مطير;60;نعم;8,648714;36,081866
الكاف;م.إ. قرن الحلفاية;41;0;قرن الحلفاية;60;نعم;8,498901;36,002851
الكاف;م.إ.  برج الديوانة;21;0;برج الديوانة;60;نعم;8,3980485;35,956827
الكاف;م.إ. الشمام;33;0;الشمام;60;نعم;8,648396;35,971799
الكاف;م.إ.  الغرايرية-2 مارس 34;19;0;الغرابرية;60;نعم;8,400495;35,909506
الكاف;م.إ.  حي الملعب;57;0;قلعة سنان;61;نعم;8,400495;35,909506
الكاف;م.إ.  صالح البحري;58;0;م ا صالح البحري;62;نعم;8,9337463;36,177516
الكاف;م.إ.  34/3/2قلعة سنان;303;0;قلعة سنان;62;نعم;8,3420215;35,768094
الكاف;م.إ.  المحجوبة;103;0;قلعة سنان;62;نعم;8,5028002;35,809944
الكاف;م.إ.  الفالتة;137;0;قلعة سنان;62;نعم;8,3050451;35,901782
الكاف;م.إ.  الحميمة;21;0;قلعة سنان;62;نعم;8,3654989;35,904157
الكاف;م.إ.  أولاد ابراهيم;14;0;قلعة سنان;62;نعم;8,3495493;35,850334
الكاف;م.إ.  النصر;349;0;قلعة سنان;63;نعم;8,3424819;35,765889
الكاف;م.إ.  سيدي احمد الصالح;137;0;سيدي احمد الصالح ;63;نعم;8,5789957;35,739378
الكاف;م.إ.المحاسن ( المغاسل);86;0;المخاسن;64;نعم;8,811549;36,26536
الكاف;م.إ.  الجديدة;151;0;قلعة سنان;64;نعم;8,3393354;35,763322
الكاف;م.إ.  جبل كبوش;53;0;سيدي منصور الكاف;65;نعم;8,8985707;36,220321
الكاف;م.إ.  بئر حميدة;45;0;قلعة سنان;67;نعم;8,2898888;35,804306
الكاف;م.إ.  بوهراوة;43;0;قلعة سنان;67;نعم;8,5196131;35,773362
الكاف;م.إ.  الحارة;35;0;الخارة لمحاسن;68;نعم;8,859985;36,301332
الكاف;م.إ.  المنجم;61;0;قلعة سنان;69;نعم;8,3652318;35,746125
الكاف;م.إ.  الحبيبب ثامر;90;0;ام ا الخبيب ثامر;70;نعم;8,431662;36,127777
الكاف;م.إ.   القرية نبر;211;0;نبر المركزية;70;نعم;8,765248;36,294699
الكاف;م.إ.  حي النصر نبر;265;0;حي النصر;70;نعم;8,774435;36,302542
الكاف;م.إ.  بئرالنخلة;59;0;بير النخلة ;70;نعم;8,646519;36,031978
الكاف;م.إ.  بوياقوم;67;0;بوياقوم;70;نعم;8,531325;36,039525
الكاف;م.إ.  صدين;30;0;صدين;70;نعم;8,522534;36,074138
الكاف;م.إ.  القرية القلعة الخصبة;183;0;القرية ;70;نعم;;
الكاف;م.إ. ذراع البطوم;35;0;ذراع اابطوم  الساقية;71;نعم;8,390774;36,177711
الكاف;م.إ.  وادي العين;103;0;وادي العين;72;نعم;8,722776;36,159073
الكاف;م.إ.  الجدارة;53;0;م ت الجدارة;72;نعم;8,9759453;36,196787
الكاف;م.إ.  الوادي القديم;176;0;الحارة  الواد لقديم;72;نعم;8,912021;36,248834
الكاف;م.إ.  مركز بوزيد;89;0;مركز بوزيد لمحاسن;72;نعم;8,896658;36,319795
الكاف;م.إ.  سركونة 1;31;0;سركوزة1;74;نعم;8,732756;36,225918
الكاف;م.إ.  بوجابر;56;0;قلعة سنان;74;نعم;8,300638;35,743751
الكاف;م.إ.  عين عناق;26;0;قلعة سنان;74;نعم;8,3979382;35,701995
الكاف;م.إ.  واد بوصالح;20;0;قلعة سنان;75;نعم;8,4155375;35,782367
الكاف;م.إ.  الناظور;10;0;الناظور ااقلعة الخصبة;75;نعم;8,5068371;35,736181
الكاف;م.إ.  الطويرف;255;0;الطويرف;76;نعم;8,5796428;36,340064
الكاف;م.إ.  سد ملاق;121;0;سد ملاق;76;نعم;8,706950465;36,31999932
الكاف;م.إ.  سيدي خيار نبر;126;0;سيدي نيار;76;نعم;8,790906;36,355024
الكاف;م.إ.  الخدايجية;96;0;الخدايجية;76;نعم;8,816347;36,331162
الكاف;م.إ.  سركونة 2;34;0;سركوزة2;76;نعم;8,779501;36,240532
الكاف;م.إ.  58/2/8الساقية;620;0;الساقية;77;نعم;8,356942;36,22373
الكاف;م.إ.  34/3/2الساقية;189;0;الساقية;77;نعم;8,352339;36,224869
الكاف;م.إ.  الصلع;16;0;الصلع القلعة الخصبة;77;نعم;8,5595061;35,69656
الكاف;م.إ.  القدح;27;0; القدح القلعة الخصبة;77;نعم;8,4304156;35,716165
الكاف;م.إ. الحمايزية;34;0;الحمايزية  القلعة الخصبة;77;نعم;8,5093533;35,676987
الكاف;م.إ.  عين الهنشير;68;0;عين الهنشير;78;نعم;8,838774;36,384929
الكاف;م.إ.  الجهيني;99;0;الجهيني;78;نعم;8,959151;36,287706
الكاف;م.إ.  أحياء الطويرف;55;0;الطويرف;79;نعم;8,5796428;36,340064
الكاف;م.إ.  المنجم;90;0;المنجم;79;نعم;8,3652318;35,746125
الكاف;م.إ.  القصر الأحمر;107;0;القثر لحمر;80;نعم;8,857405;36,345958
الكاف;م.إ.  بئر بن شريفة;96;0;الطويرف;82;نعم;8,644818;36,35421
الكاف;م.إ.  غنجاتة;23;0;غنجاتة;83;نعم;8,761354;36,384423
الكاف;م.إ.  سيدي الوحيشي;17;0;سبدي  الوحيشي الساقية;87;نعم;8,429234;36,217414
الكاف;م.إ.  ولجة السدرة;52;0;ولجة السدرة  الطويرف;88;نعم;8,5501;36,398706
الكاف;م.إ.  عين القطار;33;0;عين القطار الساقية;90;نعم;8,45013;36,226237
الكاف;م.إ.  عين أم الصبع;83;0;عين ام الصبع الساقية;90;نعم;;
الكاف;م.إ.  عين مازر;32;0;عين مازر;90;نعم;8,40331;36,294022
الكاف;م.إ.  تل الغزلان;172;0;تل الغزلان;90;نعم;8,888393472;36,40382095
الكاف;م.إ.  العرقوب الأحرش طريق الطويرف;65;0;طريق الطويرف;91;نعم;8,708696;36,378824
الكاف;م.إ.  الأذياب;13;0;لذياب الطويرف;91;نعم;;
الكاف;م.إ.  الحفرة;44;0;م ا الحفرة;95;نعم;;
الكاف;م.إ.  هنشير القصر;110;0;هنشير القصر;97;نعم;;
الكاف;م.إ.  الخروبة;38;0;الخروبة;98;نعم;;
الكاف;م.إ.  الشتاتلة;11;0;دار السلام الشتاتلة;100;نعم;;
الكاف;م.إ.  الشعيبات;75;0;الشعيبات;100;نعم;;
الكاف;م.إ.   قرقور;43;0;م ا قرقور الساقية;102;نعم;;
الكاف;الشتاتلة2;18;0;الشتاتلة;104;نعم;;
الكاف;م.إ.  سيدي رابح;120;0;سيدي رابح الساقية;105;نعم;;
الكاف;م.إ. عين النشيمة;38;0;النشمة;94;نعم;;
الكاف;م.إ. الحزيم;16;0;الساقية 7120;103;نعم;;
الكاف;م.إ. الطابية;87;0;الساقية 7120;112;نعم;;
قبلي;م.إ.  الجديدة المنصورة;147;100;الجديدة ـ قبلي الشمالية;6;لا;8,936085;33,723442
قبلي;م.إ.  تلمين;147;130;تلمين ـ قبلي الشمالية;7;لا;8,917673;33,715972
قبلي;م.إ.  القطعاية;176;110;القطعاية ـ قبلي الشمالية;5;لا;8,8807974;33,679019
قبلي;م.إ.  لــــيماقس;197;73;ليماقس ـ قبلي الشمالية;15;لا;9,085859;33,766783
قبلي;م.إ.  فج الريح;90;116;فج الريح قبلي الشمالية;5;لا;8,943644;33,735592
قبلي;م.إ. الرحمات;227;116;الرحمات ـ قبلي الشمالية;10;لا;8,994285;33,64419
قبلي;م.إ.  الرابطة;267;124;الرابطة ـ قبلي الشمالية;7;لا;8,9170749;33,733797
قبلي;م.إ.  برج سعيدان;41;34;برج سعيدان ـ قبلي الشمالية;37;لا;9,299449;33,753769
قبلي;م.إ.  رضوان;21;20;رضوان ـ قبلي الشمالية;32;لا;9,235562;33,738817
قبلي;م.إ.  مزرع ناجي;41;30;مزرعة ناجي قبلي الشمالية;41;لا;9,306794;33,790721
قبلي;م.إ. أم الفرث;25;12;أم الفرث ـ قبلي الشمالية;36;لا;9,237815;33,783657
قبلي;م.إ. بازمة1;298;110;بازمة ـ قبلي الجنوبية;8;لا;9,013746;33,66363
قبلي;م.إ.  بشلي;151;110;بشلي قبلي الجنوبية;12;نعم;8,916812;33,61491
قبلي;م.إ.  البليدات;240;100;البليدات ـ قبلي الجنوبية;23;لا;8,836864;33,580601
قبلي;م.إ.  المساعيد;316;120;المساعيد - قبلي الجنوبية ;13;نعم;8,96422;33,618464
قبلي;م.إ.  زاوية العانس;143;100;زاوية العانس ـ سوق الأحد;24;لا;8,798441;33,790062
قبلي;م.إ. شوشة نقة;91;70;شوشة نقة ـ سوق الأحد;12;لا;8,832873;33,739428
قبلي;م.إ.  الحسي دوز;32;12;الحسي ـ دوز;36;لا;9,004443;33,407847
قبلي;م.إ.  العوينة1;453;170;العوينة ـ دوز;32;لا;9,032494;33,45031
قبلي;م.إ.  العوينة 2;357;130;العوينة ـ دوز;33;لا;9,030309;33,457745
قبلي;م.إ.  الصابرية;214;170;الصابرية ـ الفوار;55;لا;8,746178;33,352447
قبلي;م.إ.  غيدمة;404;182;غيدمة ـ الفوار;45;نعم;8,818479;33,435274
قبلي;م.إ.  بشني;282;120;بشني ـ الفوار;42;لا;8,793453;33,48642
قبلي;م.إ.  الدرجين;82;52;الدرجين ـ الفوار;45;لا;8,719508;33,463245
قبلي;م.إ. الفوار الشمالية;113;104;الفوار الالشمالية;65;لا;8,673538;33,368538
قبلي;م.إ.  الصابرية الشرقية;115;100;الصابرية ـ الفوار;56;لا;8,746178;33,352447
قبلي;م.إ.  رجيم معتوق;244;190;رجيم معتوق;122;لا;8,0312883;33,319503
قبلي;م.إ.  الفردوس;182;150;الفردوس ـ رجيم معتوق;127;لا;7,97409;33,325992
قبلي;م.إ.  المطروحة;18;37;المطروحة ـ رجيم معتوق;145;لا;7,781385;33,350665
قبلي;م.إ.  النصر 1 رجيم;68;100;النصر ـ رجيم معتوق;136;لا;7,938285;33,330205
قبلي;م.إ. الأمل رجيم معتوق;70;80;الأمل ـ رجيم معتوق;145;لا;8,0312883;33,319503
سليانة;م.إ.  سيدي عمارة;0;اغلقت;لا توجد معطيات;0;نعم;9,5126526;36,135183
سليانة;م.إ.  دشرة عين جوزة;0;اغلقت;لا توجد معطيات;0;نعم;9,3327347;35,950762
سليانة;م.إ.  باطن الزرايب;0;اغلقت;لا توجد معطيات;0;نعم;9,4908359;36,265208
سليانة;م.إ.  الهوام;0;اغلقت;لا توجد معطيات;0;نعم;9,4536474;36,191838
سليانة;م.إ.  فج الهدوم;0;اغلقت;لا توجد معطيات;0;نعم;;
سليانة;م.إ.  القابل;0;114;القابل سليانة الجنوبية 6100;7;لا;9,3812109;36,001092
سليانة;م.إ. سجة;0;6;سجة  سليانة الجنوبية 6100;8;لا;9.3717495;36.0924992
سليانة;م.إ.  قبر الغول;0;128;قبر الغول سليانة الجنوبية 6100;10;لا;9,4425836;35,961271
سليانة;م.إ.  صنوبرين;0;37;صنوبرين سليانة الجنوبية 6100;10;لا;9,3506478;35,986534
سليانة;م.إ.  رأس الماء;0;167;راس الماء سليانة الجنوبية 6100;12;نعم;9,495089;35,977414
سليانة;م.إ.  الغماليــة;0;80; الغمالية سليانة الجنوبية 6100;12;لا;9,5250912;35,94758
سليانة;م.إ.  الزريبة;0;180;الزريبة سليانة الجنوبية 6100;15;نعم;9,4921843;35,938075
سليانة;م.إ. النمايرية;0;62;النمايرية سليانة الجنوبية 6100;15;لا;9,3922505;35,953497
سليانة;م.إ. سيدي عامر;0;92;سيدي عامر سليانة الجنوبية 6100;18;لا;9,4865294;35,875578
سليانة;م.إ. مرج مقدم;0;44;مرج مقدم سليانة الجنوبية 6100;20;لا;9,2912019;35,950827
سليانة;م.إ.  عين أم الحبال;0;83;عين ام الحبال سليانة الجنوبية6100;20;نعم;9,4056718;35,922576
سليانة;م.إ.  سيدي منصور;0;10;سيدي منصور سليانة الجنوبية 6100;22;لا;9,2899662;36,019366
سليانة;م.إ.  جنوة كسرى;0;84;جنوة كسرى 6114;22;لا;9,511301;35,845272
سليانة;م.إ.   جامة;0;58;جامة سليانة الشمالية 6100;25;نعم;9,284396;36,112287
سليانة;م.إ. بن زكري يهبـو;0;28;الطويبية سليانة الشمالية 6100;25;نعم;9,44778;36,091485
سليانة;م.إ.  العذابة;0;62;العذابة سليانة الجنوبية 6100;25;لا;9,341154;35,918293
سليانة;م.إ.  غياضة;0;58;غياضة سليانة الجنوبية 6100;25;لا;9,3435706;36,036715
سليانة;م.إ.  بوعبدالله;0;220;بوعبد الله كسرى 6114;25;نعم;9,4344471;35,879431
سليانة;م.إ.  سيدي جابر;0;19;سيدي جابر سليانة الشمالية6100;27;لا;9,372324;36,141963
سليانة;م.إ.  عين زريق;0;50;عين زريق قعفور سليانة6110;27;لا;9,4504786;36,164404
سليانة;م.إ.  بنورية;0;77;بنورية قعفور سليانة6110;27;لا;9,3319801;36,172815
سليانة;م.إ.  مرج عوام;0;24;مرج عوام برقو6170;29;نعم;9,5107244;36,087849
سليانة;م.إ.  مديونة;0;49;مديونة سليانة الشمالية 6100;30;لا;9,40069;36,119312
سليانة;م.إ.  فجة رمادة;0;11;فجة رمادة سليانة الشمالية 6100;30;لا;9,264199;36,060619
سليانة;م.إ. عين القصبات;0;25;عين القصبات سليانة الجنوبية6100;30;لا;9,3125353;35,940963
سليانة;م.إ.  عرقوب الدبغة;0;27;عرقوب الدبغة سليانة الجنوبية6100;30;لا;9,2877609;35,917241
سليانة;م.إ.  الأقصاب;0;82;الاقصاب قعفور سليانة6110;30;نعم;9,3078316;36,193798
سليانة;م.إ.  المنصورة القديمة;0;183;المنصورة القديمة 6114;30;نعم;9,478857;35,81498
سليانة;م.إ.  المنصورة فرحات حشاد;0;266;المنصورة فرحات حشاد مسرى 6114;30;لا;9,486382;35,795485
سليانة;م.إ. الخروبة;0;41;الخروبة قعفور سليانة6110;33;لا;9,4111742;36,232019
سليانة;م.إ.  منزل نايل;0;159;منزل نايل قعفور سليانة6110;33;لا;9,4939524;36,198293
سليانة;م.إ.  الجوى;0;34;الجوى سليانة الشمالية 6100;35;نعم;9,21552;36,112926
سليانة;م.إ.  بن زكري;0;17;بن زكري سليانة الشمالية 6100;35;نعم;9,467218;36,137519
سليانة;م.إ. حانوت مرزوق;0;64;حانوت مرزوق سليانة الجنوبية 6100;35;نعم;9,2702019;35,986102
سليانة;م.إ.  المرقب;0;25;المرقب سليانة الجنوبية 6100;35;نعم;9,3268756;35,88205
سليانة;م.إ.  القرية الجنوبية;0;73;القرية الجنوبية 6114;35;نعم;9,466229022;35,77037394
سليانة;م.إ.  عين الديسة;0;64;عين الديسة سليانة الشمالية6100;40;نعم;9,2468362;35,95594943
سليانة;م.إ.  الصاحبين;0;52;الصاحبين سليانة الشمالية6100;40;نعم;9,210910435;36,05538501
سليانة;م.إ.  دشرة الخلصة;0;29;دشرة الخلصة سليانة الشمالية6100;40;نعم;9,1673718;35,958282
سليانة;م.إ.  الطويبية;0;30;الطويبية سليانة الشمالية 6100;40;نعم;9,1819798;36,096484
سليانة;م.إ.   2 مارس 34 محطةالأخوات;0;111;الاخوات محطة6110;40;نعم;9,2551066;36,257243
سليانة;م.إ.  القرية الشمالية;0;253;القرية الشمالية كسرى 6114;40;لا;9,439283;35,771095
سليانة;م.إ. عين زكار;0;65;عين زكار برقو6170;42;لا;9,5395677;36,026322
سليانة;م.إ.  عين بوسلامة;0;57;عين بو سلامة العروسة 6016;43;نعم;9,5737359;36,339738
سليانة;م.إ.  النويصر;0;12;النويصر قعفور سليانة6110;43;لا;9,3260079;36,268838
سليانة;م.إ.  عرقوب الخلصة;0;30;عرقوب الخلصة سليانة الشمالية 6100;45;نعم;9,205513521;35,99508202
سليانة;م.إ.  الخزامي;0;50;الخزامي سليانة الشمالية 6100;45;نعم;9,230466675;35,98428437
سليانة;م.إ.  سيدي سعيد;0;44;سيديي سعيد برقو 6170;45;نعم;9,691831;36,187428
سليانة;م.إ.  منجم الأخوات;0;20;منجم الاخوات6110;45;لا;9,2414672;36,274728
سليانة;م.إ.  سند الحداد;0;249;سند الحداد مكثر6140;45;لا;9,214228;35,914232
سليانة;م.إ.  أولاد بوعافية;0;124;اولاد بو عافية كسرى 6114;45;لا;9,509365;35,74458
سليانة;م.إ.  سيدي زيد;0;47;سيدي زيد برقو6170;47;نعم;9,6533716;36,168323
سليانة;م.إ.  صدقة;0;48;صدقة برقو6170;47;نعم;9,5898237;35,986237
سليانة;م.إ.  الدريجة;0;106;الدريجة برقو6170;50;لا;9,6608308;36,109116
سليانة;م.إ.  عين فرنة;0;80;عين فرنة برقو6170;50;لا;9,5769768;36,150101
سليانة;م.إ.  السّيـادة;0;194;السيادة مكثر6120;50;نعم;9,204473;35,855771
سليانة;م.إ.  القرعة;0;84;القرعة مكثر6140;50;لا;9,255642;35,877857
سليانة;م.إ.  نهج الطيب المهيري صيار;0;198;صيار مكثر نهج الطيب المهيري6140;50;نعم;9,216475;35,852187
سليانة;م.إ.  الحصحاصية;0;21;الحصحاصية مكثر6140;50;نعم;9,20277;35,90592
سليانة;م.إ.  الزعرورة;0;40;الزعرورة مكثر6140;50;لا;9,212541;35,890422
سليانة;م.إ.  النشم;0;20;النشم بورويس6113;50;نعم;9,202101;36,149426
سليانة;م.إ.  الرويسين القديمة;0;92;الرويسين القديمة بورويس 6113;57;نعم;9,08629;36,178277
سليانة;م.إ.   الرّميــل;0;25;الرميل العروسة 6016;51;نعم;9,4814921;36,324548
سليانة;م.إ.  مصراطة العروسة;0;16;مصراطة العروسة 6016;52;لا;9,4575065;36,31252
سليانة;م.إ.   2 مارس 1934 العروسة;0;365;2مارس العروسة 6016;55;لا;9,4541603;36,379772
سليانة;م.إ.  ابن خلدون العروسة;0;175;ابن خلدون العروسة 6016;55;لا;;
سليانة;م.إ.   بورقيبة;0;170;شارع بورقيبة قعفور6110;55;نعم;9,3224617;36,323964
سليانة;م.إ.  أولاد علي;0;22;اولاد علي مكثر6140;55;لا;9,164945;35,858645
سليانة;م.إ.  العباسي;0;75;العباسي بورويس 6113;55;نعم;9,119525;36,235629
سليانة;م.إ.  أولاد يوسف;0;88;اولاد يوسف بورويس 6113;55;لا;9,159498;36,196286
سليانة;م.إ.  التريشة;0;36;التريشة بورويس 6113;56;نعم;9,134933;36,119832
سليانة;م.إ.  الرويسين الجديدة;0;36;الرويسين القديمة بورويس 6113;57;نعم;9,085949;36,143229
سليانة;م.إ.  عين بوسعدية;0;35;عين بو سعدية برقو6170;60;نعم;9,6377533;36,048176
سليانة;م.إ.  بوجليدة;0;111;بوجليدة العروسة 6016;60;نعم;9,5043458;36,413769
سليانة;م.إ.  سيدي عياد;0;67;سيدي عياد العروسة 6016;60;لا;9,3928595;36,351003
سليانة;م.إ. دشرة الحجاج;0;25;دشرة الحجاج العروسة 6016;60;لا;9,4970288;36,36507
سليانة;م.إ.  وادي العرعار  العروسة;0;142;وادي العرعار العروسة 6016;60;نعم;9,4239227;36,389449
سليانة;م.إ.  الخيزران;0;69;الخيزران مكثر6140;60;نعم;9,194569;35,789019
سليانة;م.إ.  جوف صدين;0;94;صدين مكثر6140;60;نعم;9,056689;35,799941
سليانة;م.إ.  حوش الصفايا;0;55;حوش الصفايا مكثر6140;60;لا;9,13734;35,907962
سليانة;م.إ. الشوارنية;0;51;الشوارنية مكثر6140;60;نعم;9,1394507;35,959258
سليانة;م.إ.  رأس الوادي;0;68;راس الوادي مكثر6140;60;لا;9,128229599;35,84663195
سليانة;م.إ.  التلة;0;82;التلة مكثر6140;60;لا;9,272016;35,79533
سليانة;م.إ.  وادي الرمل;0;110;وادي الرمل مكثر6140;60;لا;9,101062;35,838014
سليانة;م.إ.  أولاد الشيخ;0;74;اولاد الشيخ مكثر6140;60;نعم;9,045512;35,819178
سليانة;م.إ.  الحذايقية;0;59;الحذايفية مكثر6140;60;لا;9,272196;35,795471
سليانة;م.إ.  اللوزة القديمة;0;81;اللوزة القديمة كسرى 6114;60;نعم;9,250303;35,733223
سليانة;م.إ.  بني حازم;0;99;بني حازم مكثر6140;65;نعم;9,068010905;35,87332276
سليانة;م.إ.  سوق الجمعة;0;81;سوق الجمعة مكثر6140;65;لا;9,132139;35,880055
سليانة;م.إ.  الحمادة;0;85;الحمادة مكثر6140;65;نعم;9,141067;35,81205
سليانة;م.إ.  الحمام;0;66;الحمام كسرى 6114;65;نعم;9,305848207;35,83038813
سليانة;م.إ.  اللوزة الجديدة كسرى;0;39;اللوزة الجديدة كسرى 6114;65;لا;9,280766;35,75835
سليانة;م.إ.  دمان الخرّوب;0;21;دمان الخروب برقو6170;66;لا;9,6033015;36,129881
سليانة;م.إ.  محطة الجليدة;0;34;محطة الجليدة بوعرادة 6180;67;نعم;9,556138;36,371146
سليانة;م.إ.  طرف الشناء;0;34;طرف الشناء بوعرادة 6180;67;لا;9,706154;36,344765
سليانة;م.إ.  سيدي عبد النور;0;122;سيدي عبد النور بوعرادة 6180;67;لا;9,603701;36,298207
سليانة;م.إ.  أولاد سيدي عرفة;0;48;اولاد سيدي عرفة بوعرادة 6180;68;نعم;9,643059;36,29877
سليانة;م.إ. أولاد بن عمر;0;12;اولاد بن عمر برقو6170;70;نعم;9,7203536;36,095703
سليانة;م.إ.  بيجقة;0;54;بيجقة بوعرادة 6180;70;لا;9,624503;36,388008
سليانة;م.إ. برج مسعودي;0;139;برج المسعودي الكريب6120;70;نعم;9,059847;36,29117
سليانة;م.إ.  العالية;0;39;العالية الكريب6120;70;لا;9,161545;36,36025
سليانة;م.إ. الدخانية القديمة;0;106;الدخانية الكريب6120;70;نعم;9,198465;36,325529
سليانة;م.إ.  وادي اللوز;0;19;واد اللوز الكريب6120;70;لا;9,084224;36,340742
سليانة;م.إ.  الزواكرة;0;110;الزواكرة مكثر6140;70;نعم;9,084591;35,904056
سليانة;م.إ. كسرى الجديدة;0;228;كسرى الجديدة كسرى 6114;70;نعم;9,358919;35,797449
سليانة;م.إ.  هنشير فطيـس;0;57;هنشير فطيس بوعرادة 6180;75;لا;9,724003;36,41068
سليانة;م.إ.  مدين;0;76;مدين الكريب6120;75;لا;8,990073;36,288557
سليانة;م.إ.  الدخانية الجديدة;0;17;الدخانية  القديمةالكريب6120;75;لا;9,227441;36,349351
سليانة;م.إ.  المهيريس;0;64;مهيريس الكريب6120;75;لا;9,041424;36,315331
سليانة;م.إ.  الفضول;0;111;الفضول كسرى 6114;75;نعم;9,411157303;35,72250306
سليانة;م.إ.  ذواودة كسرى;0;141;الذواودة كسرى 6114;75;نعم;9,45007;35,737575
سليانة;م.إ.  قصر بوخريص;0;31;قصر بوخريص بوعرادة 6180;76;لا;9,603158;36,230401
سليانة;م.إ.  أولاد طالب;0;46;اولاد طالب مدين الكريب6120;80;لا;8,998263;36,270601
سليانة;م.إ.  عقبة السلوقي;0;36;عقبة السلوقي مدين الكريب6120;80;لا;8,997526;36,314999
سليانة;م.إ.  عرقوب كلاع;0;27;عرقوب كلاع الكريب6120;80;لا;9,003861;36,35823
سليانة;م.إ.  هنشير رومان;0;46;هنشير الرومان بوعرادة 6180;82;لا;9,571027593;36,22403925
سليانة;م.إ. عين قسيل;0;39;عين قسيل بوعرادة 6180;85;نعم;9,52405;36,231887
سليانة;م.إ.  حمام بياضة;0;209;حمام بياضة الكريب6120;85;نعم;8,980204;36,397691
سليانة;م.إ.  حمام السخون;0;88;حمام السخون الكريب6120;90;لا;8,945919;36,423085
سليانة;م.إ.  الخنقة;5;54;الخنقة الكريب 6120;90;لا;9,060316;36,388241
سليانة;م.إ.  2 مارس 34 الروحية;0;659;2مارس 1934 الروحية6150;90;نعم;9,054892371;35,65022763
سليانة;م.إ.حي السعادة;0;549;حي السعادة الروحية 6150;90;نعم;9,050532971;35,64932823
سليانة;م.إ. حي النور;0;190;حي النور الروحية 6150;90;لا;9,058765;35,651684
سليانة;م.إ.  الحميمة عن روحية;0;82;الحميمة  الروحية 6150;95;نعم;9,005228;35,673087
سليانة;م.إ.  أولاد بلال;0;53;اولاد بلال الروحية 6150;95;لا;9,101015;35,659229
سليانة;م.إ.  فندق دبيش;0;192;فندق دبيش الروحية 6150;96;نعم;9,103081;35,679895
سليانة;م.إ.  الهرية;0;158;الهرية الروحية 6150;99;نعم;9,063163133;35,71811106
سليانة;م.إ. بوعجيلة;0;191;بوعجيلة الروحية 6150;103;لا;9,166323;35,659119
سليانة;م.إ.  سيدي مولى;0;51;سيدي مولى الروحية 6150;103;نعم;9,06145;35,746477
سليانة;م.إ. الدليوات;0;261;الدليوات الروحية 6150;104;لا;9,168017;35,67971
سليانة;م.إ.  أولاد زيتون;0;52;اولاد زيتون الروحية 6150;106;نعم;9,033235;35,768181
سليانة;م.إ.  المرثوم;0;100;المرثوم الروحية 6150;106;لا;9,54435;35,682227
سليانة;م.إ.  جلجل;0;152;جلجل الروحية 6150;109;لا;9,155176;35,628773
سليانة;م.إ.  برج دبيش;0;44;برج دبيش الروحية 6150;112;لا;9,155771;35,679476
سليانة;م.إ.  السميرات;0;74;السميرات الروحية 6150;114;لا;9,118901;35,770556
سليانة;م.إ.  النقاقشة;0;65;النقاشة الروحية 6150;116;لا;9,208697;35,637086
سليانة;م.إ.  النجايمية;0;57;النجايمية الروحية 6150;117;لا;9,192122;35,672299
سليانة;م.إ.  الجلاب الجديدة;0;17;الجلاب الجديدة الروحية 6150;120;لا;9,22022;35,674419
سليانة;م.إ.  جلاب القديمة;0;40;جلاب القديمة الروحية 6150;121;لا;9,280646;35,623544
سليانة;م.إ. الصويوين;0;23;الصويوين الروحية 6150;121;لا;9,393668;35,579705
