OBJECTID_1;OBJECTID;Code_Fiche;nb_annee;Code_Ligne;Pk;libelle;code_famil;code_sous_;Code_immob;Date_Aquis;Date_MS;Amrt_Cumul;Montant_br;Date_affec;Dt_Cession;emplacemen;nat_dos;dossier;Zone;direction;etat_resea;inventoria;PK_PN;Code_PN;Etat;X;Y;Code_Categ;Code_mere;Unite_d_af;Caracteris;Detail_emp
104;552;17183;1;6;100,6;PASSAGE A NIVEAU PK 100+600 SECTION  C049 LIGNE 6 Voie Unique;22251110;22251110;251020409;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;100.6;P 790;Nouveau;9.45962040282;36.3803577185; ; ;0; ;0
105;218;17015;1;5;74,735;PASSAGE A NIVEAU PK 74+735 SECTION  C029 LIGNE 5 Double Voie;22251110;22251110;251020205;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;74.735;P 796;Nouveau;10.4632039357;36.3333080229; ; ;0; ;0
106;172;16470;20;5;13,721;PASSAGE A NIVEAU PK 13+721 SECTION  C024 LIGNE 5 triple Voie;22251110;22251110;251020013;1976-01-01T00:00:00.000;1976-01-01T00:00:00.000;49937.616;49937.616;;;C;11;297;2;0;E;1;13.721;P 808;Nouveau;10.3085789864;36.7457158314; ; ;0; ;0
107;1181;16159;20;TA;5,723;PASSAGE A NIVEAU PK 5+723 SECTION  C024 LIGNE TA double voie;22251110;22251110;251020006;1995-01-01T00:00:00.000;1995-01-01T00:00:00.000;7913.812;7913.812;;;C;11;131;2;0;E;1;5.723;P 819;Nouveau;10.136103696;36.8071403691; ; ;0; ;0
108;205;16861;1;5;52,343;PASSAGE A NIVEAU PK 52+343 SECTION  C028 LIGNE 5 Double Voie;22251110;22251110;251020047;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;52.343;P 826;Nouveau;10.5714429584;36.4903704456; ; ;0; ;0
109;446;34943;20;5;34,036;PASSAGE A NIVEAU PK 34+036 SECTION  C027 LIGNE 5 Double Voie;22251110;22251110;251020029;1977-01-01T00:00:00.000;1977-01-01T00:00:00.000;49937.616;49937.616;;;C;11;297;2;0;E;1;34.036;P 828;Nouveau;10.460959822;36.625406751; ; ;0; ;0
110;524;16878;1;6;10,1;PASSAGE A NIVEAU PK 10+100 SECTION  C043 LIGNE 6 Voie Unique;22251110;22251110;251020065;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;10.1;P 839;Nouveau;10.2254356717;36.6910842336; ; ;0; ;0
111;709;35386;1;6;5,913;PASSAGE A NIVEAU PK 5+913 SECTION  C001 LIGNE 2 Voie Unique;22251110;22251110;251020965;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;1;0;E;1;5.913;P 847;Nouveau;10.2338895018;36.7273085586; ; ;0; ;0
112;547;17178;1;6;90,88;PASSAGE A NIVEAU PK 90+880 SECTION  C049 LIGNE 6 Voie Unique;22251110;22251110;251020404;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;90.88;P 848;Nouveau;9.56660676845;36.3694477165; ; ;0; ;0
113;219;17016;1;5;75,026;PASSAGE A NIVEAU PK 75+026 SECTION  C029 LIGNE 5 Double Voie;22251110;22251110;251020206;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;75.026;P 853;Nouveau;10.4622024856;36.3308117981; ; ;0; ;0
114;531;17082;1;6;68,02;PASSAGE A NIVEAU PK 68+020 SECTION  C049 LIGNE 6 Voie Unique;22251110;22251110;251020387;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;68.02;P 879;Nouveau;9.81754453164;36.3563254463; ; ;0; ;0
115;202;16858;1;5;49,463;PASSAGE A NIVEAU PK 49+463 SECTION  C028 LIGNE 5 Double Voie;22251110;22251110;251020044;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;49.463;P 885;Nouveau;10.5628631484;36.5147803508; ; ;0; ;0
116;710;35388;1;6;48,474;PASSAGE A NIVEAU PK 48+474 SECTION  C047 LIGNE 6 Voie Unique;22251110;22251110;251020373;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;48.474;P 889;Nouveau;10.0025622619;36.4343907517; ; ;0; ;0
