Nombre_Espaces,Nombre_Employes   ,Espaces_Culturels
9,103,المكتبات الجهوية والعمومية
3,10, المكتبات المتنقلة
7,64,دور الثقافة والمركبات الثقافية
1,3,مراكز الفنون الدرامية والركحية
مغلق,,المتاحف
0,,أروقة الفنون
2,7,المواقع الأثرية
3,,مسارح الهواء الطلق
1,4,المعاهد الجهوية للموسيقى والرقص
0,0,أروقة الفنون (الخاصة)
0,0,قاعات السينما
0,0,معاهد الموسيقى الخاصة
0,3,فضاءات ومراكز ثقافية خاصة
0,0,فضاءات الرقص الخاصة
0,0,المتاحف الخاصة
