Nom,Nbre_cadres,Nbre_agents,Nbre_ouvriers,Nbre_animateurs,Nbre_ouvriers_vacataires
crac sousse,11,5,4,0,1
Bibliotheques,34,19,32,0,4
Maisons de culture,18,10,17,33,3
Conservatoire regional de la Musique et de la Danse,9,1,1,0,3
Centre des Arts dramatiques et Sceniques de Sousse,2,0,0,0,0
